VTX,  IDX,  gl_Position.x,  gl_Position.y,  gl_Position.z,  gl_Position.w
0,  0,  -55.44185,   13.10078,   36.51091,   37.00041
1,  1,  -57.50738,  -23.05802,   19.05962,   19.55411
2,  2,  -55.44185,  -31.60551,   35.22372,   35.71359
3,  3,  -125.45609,   665.48779,  -230.92422,  -230.35828
4,  4,  -125.45612,   918.86151,  -223.62909,  -223.06522
5,  5,  -107.32454,   668.6048,  -236.81866,  -236.25104
6,  5,  -107.32454,   668.6048,  -236.81866,  -236.25104
7,  4,  -125.45612,   918.86151,  -223.62909,  -223.06522
8,  6,  -107.32457,   921.97845,  -229.5235,  -228.95798
9,  7,  -125.45609,   665.48779,  -230.92422,  -230.35828
10,  8,  -208.31841,   664.88019,  -229.77518,  -229.20956
11,  9,  -125.45612,   918.86151,  -223.62909,  -223.06522
12,  9,  -125.45612,   918.86151,  -223.62909,  -223.06522
13,  8,  -208.31841,   664.88019,  -229.77518,  -229.20956
14,  10,  -208.31844,   918.25385,  -222.48004,  -221.9165
15,  11,  -108.37169,   671.5943,  -242.47208,  -241.90283
16,  12,  -107.32454,   668.6048,  -236.81866,  -236.25104
17,  13,  -108.37172,   924.96796,  -235.17691,  -234.60974
18,  13,  -108.37172,   924.96796,  -235.17691,  -234.60974
19,  12,  -107.32454,   668.6048,  -236.81866,  -236.25104
20,  14,  -107.32457,   921.97845,  -229.5235,  -228.95798
21,  15,  -111.84949,   684.30176,  -266.5032,  -265.92709
22,  16,  -108.37169,   671.5943,  -242.47208,  -241.90283
23,  17,  -111.84952,   937.67548,  -259.20804,  -258.63403
24,  17,  -111.84952,   937.67548,  -259.20804,  -258.63403
25,  16,  -108.37169,   671.5943,  -242.47208,  -241.90283
26,  18,  -108.37172,   924.96796,  -235.17691,  -234.60974
27,  19,  -111.84949,   684.30176,  -266.5032,  -265.92709
28,  20,  -111.84952,   937.67548,  -259.20804,  -258.63403
29,  21,  -95.13939,   684.38617,  -266.66269,  -266.08655
30,  21,  -95.13939,   684.38617,  -266.66269,  -266.08655
31,  20,  -111.84952,   937.67548,  -259.20804,  -258.63403
32,  22,  -95.13942,   937.75983,  -259.36752,  -258.79346
33,  23,  -100.0732,   703.86407,  -303.49728,  -302.91061
34,  24,  -95.13939,   684.38617,  -266.66269,  -266.08655
35,  25,  -100.07323,   957.23785,  -296.20212,  -295.61752
