 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	 -73.95973	  8.33203	  161.423	  161.87437
 1	 -83.82127	 -17.56613	  215.73808	  216.17311
 2	 -83.82127	 -11.01334	  216.32687	  216.76172
 3	 -73.95973	  1.77924	  160.83423	  161.28577
 1	 -83.82127	 -17.56613	  215.73808	  216.17311
 0	 -73.95973	  8.33203	  161.423	  161.87437
 4	 -77.03876	  8.45481	  161.07454	  161.526
 3	 -73.95973	  1.77924	  160.83423	  161.28577
 0	 -73.95973	  8.33203	  161.423	  161.87437
 5	 -77.03876	  1.90203	  160.48576	  160.93741
 3	 -73.95973	  1.77924	  160.83423	  161.28577
 4	 -77.03876	  8.45481	  161.07454	  161.526
