 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  10.28994	 -1.16026	  7.16552	  7.66328
 1	  9.14974	 -0.91798	  6.77555	  7.27342
 2	  9.18909	 -0.89231	  6.62812	  7.12604
 3	  10.24884	 -2.62831	  7.03622	  7.53402
 4	  9.16642	 -1.63661	  6.56281	  7.06075
 5	  9.16083	 -1.83687	  6.54519	  7.04313
 3	  10.24884	 -2.62831	  7.03622	  7.53402
 6	  9.17179	 -1.45345	  6.57884	  7.07678
 4	  9.16642	 -1.63661	  6.56281	  7.06075
 7	  10.28994	 -1.16026	  7.16552	  7.66328
 8	  9.17768	 -1.25761	  6.59601	  7.09395
 6	  9.17179	 -1.45345	  6.57884	  7.07678
 7	  10.28994	 -1.16026	  7.16552	  7.66328
 9	  9.18285	 -1.09125	  6.61063	  7.10856
 8	  9.17768	 -1.25761	  6.59601	  7.09395
 7	  10.28994	 -1.16026	  7.16552	  7.66328
 10	  9.18909	 -0.89231	  6.62812	  7.12604
 9	  9.18285	 -1.09125	  6.61063	  7.10856
 11	  9.24345	 -2.19659	  5.90743	  6.40557
 12	  9.19313	 -2.21535	  5.97364	  6.47176
 13	  9.22326	 -3.10917	  6.11727	  6.61535
 14	  9.30654	 -2.2346	  6.00607	  6.50418
 15	  10.44227	 -2.40922	  6.33614	  6.83415
 16	  9.14596	 -2.37147	  6.49793	  6.99589
 17	  9.14596	 -2.37147	  6.49793	  6.99589
 18	  10.44227	 -2.40922	  6.33614	  6.83415
 19	  10.24884	 -2.62831	  7.03622	  7.53402
 20	  9.00002	 -1.49237	  6.72903	  7.22692
 21	  9.04708	 -1.61425	  6.52521	  7.02317
 22	  9.05167	 -1.43207	  6.54317	  7.04112
 23	  8.98017	 -1.68097	  6.73659	  7.23448
 24	  8.97499	 -1.88364	  6.71697	  7.21487
 21	  9.04708	 -1.61425	  6.52521	  7.02317
 25	  8.97499	 -1.88364	  6.71697	  7.21487
 26	  9.0414	 -1.81553	  6.50765	  7.0056
 27	  9.04708	 -1.61425	  6.52521	  7.02317
 27	  9.04708	 -1.61425	  6.52521	  7.02317
 26	  9.0414	 -1.81553	  6.50765	  7.0056
 28	  9.21072	 -1.45717	  6.03575	  6.53385
 28	  9.21072	 -1.45717	  6.03575	  6.53385
 26	  9.0414	 -1.81553	  6.50765	  7.0056
 29	  9.20496	 -1.66314	  6.01787	  6.51597
 29	  9.20496	 -1.66314	  6.01787	  6.51597
 30	  9.26452	 -1.43781	  5.97296	  6.47108
 28	  9.21072	 -1.45717	  6.03575	  6.53385
 31	  9.25867	 -1.64848	  5.95477	  6.45289
 30	  9.26452	 -1.43781	  5.97296	  6.47108
 29	  9.20496	 -1.66314	  6.01787	  6.51597
 32	  9.26968	 -1.25217	  5.989	  6.48711
 33	  9.2156	 -1.27326	  6.05275	  6.55084
 30	  9.26452	 -1.43781	  5.97296	  6.47108
 34	  9.17179	 -1.45345	  6.57884	  7.07678
 35	  9.05167	 -1.43207	  6.54317	  7.04112
 36	  9.16642	 -1.63661	  6.56281	  7.06075
 36	  9.16642	 -1.63661	  6.56281	  7.06075
 35	  9.05167	 -1.43207	  6.54317	  7.04112
 37	  9.04708	 -1.61425	  6.52521	  7.02317
 38	  9.33795	 -2.20439	  5.90914	  6.40728
 39	  10.47289	 -2.41631	  6.21907	  6.71711
 40	  9.30654	 -2.2346	  6.00607	  6.50418
 41	  9.30654	 -2.2346	  6.00607	  6.50418
 39	  10.47289	 -2.41631	  6.21907	  6.71711
 42	  10.44227	 -2.40922	  6.33614	  6.83415
 42	  10.44227	 -2.40922	  6.33614	  6.83415
 39	  10.47289	 -2.41631	  6.21907	  6.71711
 43	  10.98589	 -2.48413	  6.43381	  6.93179
 39	  10.47289	 -2.41631	  6.21907	  6.71711
 44	  11.01605	 -2.49116	  6.31666	  6.81467
 43	  10.98589	 -2.48413	  6.43381	  6.93179
 45	  11.55921	 -2.56601	  6.41425	  6.91223
 43	  10.98589	 -2.48413	  6.43381	  6.93179
 44	  11.01605	 -2.49116	  6.31666	  6.81467
 46	  11.52951	 -2.55904	  6.53148	  7.02943
 43	  10.98589	 -2.48413	  6.43381	  6.93179
 45	  11.55921	 -2.56601	  6.41425	  6.91223
 47	  12.7293	 -2.70627	  6.62104	  7.11896
 46	  11.52951	 -2.55904	  6.53148	  7.02943
 45	  11.55921	 -2.56601	  6.41425	  6.91223
 48	  12.75195	 -2.67485	  6.52253	  7.02048
 49	  12.7293	 -2.70627	  6.62104	  7.11896
 45	  11.55921	 -2.56601	  6.41425	  6.91223
 50	  9.14596	 -2.37147	  6.49793	  6.99589
 51	  9.02594	 -2.36416	  6.45976	  6.95773
 52	  9.30654	 -2.2346	  6.00607	  6.50418
 52	  9.30654	 -2.2346	  6.00607	  6.50418
 51	  9.02594	 -2.36416	  6.45976	  6.95773
 53	  9.19313	 -2.21535	  5.97364	  6.47176
 54	  9.19313	 -2.21535	  5.97364	  6.47176
 55	  9.02594	 -2.36416	  6.45976	  6.95773
 56	  9.22326	 -3.10917	  6.11727	  6.61535
 55	  9.02594	 -2.36416	  6.45976	  6.95773
 57	  9.09702	 -3.27198	  6.42403	  6.92201
 58	  9.22326	 -3.10917	  6.11727	  6.61535
 59	  9.03111	 -2.1808	  6.47576	  6.97373
 60	  8.96611	 -2.25433	  6.67895	  7.17686
 61	  9.02594	 -2.36416	  6.45976	  6.95773
 61	  9.02594	 -2.36416	  6.45976	  6.95773
 60	  8.96611	 -2.25433	  6.67895	  7.17686
 62	  8.9616	 -2.43847	  6.66043	  7.15834
 63	  9.15067	 -2.20215	  6.51289	  7.01085
 64	  9.03111	 -2.1808	  6.47576	  6.97373
 65	  9.14596	 -2.37147	  6.49793	  6.99589
 65	  9.14596	 -2.37147	  6.49793	  6.99589
 64	  9.03111	 -2.1808	  6.47576	  6.97373
 66	  9.02594	 -2.36416	  6.45976	  6.95773
 67	  10.24884	 -2.62831	  7.03622	  7.53402
 68	  9.15067	 -2.20215	  6.51289	  7.01085
 69	  9.14596	 -2.37147	  6.49793	  6.99589
 67	  10.24884	 -2.62831	  7.03622	  7.53402
 70	  9.15626	 -2.00226	  6.53049	  7.02844
 68	  9.15067	 -2.20215	  6.51289	  7.01085
 71	  8.96611	 -2.25433	  6.67895	  7.17686
 72	  9.03111	 -2.1808	  6.47576	  6.97373
 73	  9.03675	 -1.98074	  6.49323	  6.99119
 74	  8.97499	 -1.88364	  6.71697	  7.21487
 73	  9.03675	 -1.98074	  6.49323	  6.99119
 75	  9.0414	 -1.81553	  6.50765	  7.0056
 73	  9.03675	 -1.98074	  6.49323	  6.99119
 72	  9.03111	 -2.1808	  6.47576	  6.97373
 76	  9.2004	 -1.82593	  6.00373	  6.50184
 77	  9.20496	 -1.66314	  6.01787	  6.51597
 76	  9.2004	 -1.82593	  6.00373	  6.50184
 78	  9.25867	 -1.64848	  5.95477	  6.45289
 76	  9.2004	 -1.82593	  6.00373	  6.50184
 72	  9.03111	 -2.1808	  6.47576	  6.97373
 79	  9.19468	 -2.03039	  5.98598	  6.4841
 79	  9.19468	 -2.03039	  5.98598	  6.4841
 80	  9.25422	 -1.80885	  5.94092	  6.43905
 76	  9.2004	 -1.82593	  6.00373	  6.50184
 81	  9.24841	 -2.01771	  5.92288	  6.42101
 80	  9.25422	 -1.80885	  5.94092	  6.43905
 79	  9.19468	 -2.03039	  5.98598	  6.4841
 82	  9.25867	 -1.64848	  5.95477	  6.45289
 76	  9.2004	 -1.82593	  6.00373	  6.50184
 80	  9.25422	 -1.80885	  5.94092	  6.43905
 83	  9.16083	 -1.83687	  6.54519	  7.04313
 84	  9.0414	 -1.81553	  6.50765	  7.0056
