 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  389.43152	  70.13497	  224.90561	  225.31137
 1	  379.40198	  69.35075	  219.91348	  220.32132
 2	  389.41376	  30.81376	  227.33408	  227.73882
 3	  499.0766	  175.0118	  292.30505	  292.68262
 4	  498.86597	  203.10205	  290.61203	  290.9903
 5	  483.69971	  173.58449	  283.15482	  283.53619
 5	  483.69971	  173.58449	  283.15482	  283.53619
 4	  498.86597	  203.10205	  290.61203	  290.9903
 6	  483.76074	  201.7023	  281.65466	  282.03668
 7	  353.26257	  27.58809	  207.16998	  207.58316
 8	  353.26257	  64.03281	  204.90802	  205.32216
 9	  342.03601	  30.55975	  225.74802	  226.15341
 10	  350.25287	  64.92258	  209.88278	  210.29483
 11	  350.25793	  61.68071	  210.0755	  210.48747
 8	  353.26257	  64.03281	  204.90802	  205.32216
 8	  353.26257	  64.03281	  204.90802	  205.32216
 11	  350.25793	  61.68071	  210.0755	  210.48747
 9	  342.03601	  30.55975	  225.74802	  226.15341
 11	  350.25793	  61.68071	  210.0755	  210.48747
 12	  347.75513	  62.51052	  214.2157	  214.62595
 9	  342.03601	  30.55975	  225.74802	  226.15341
 9	  342.03601	  30.55975	  225.74802	  226.15341
 12	  347.75513	  62.51052	  214.2157	  214.62595
 13	  342.06586	  83.33023	  222.49304	  222.89983
 12	  347.75513	  62.51052	  214.2157	  214.62595
 14	  347.74738	  81.73674	  213.06119	  213.47191
 13	  342.06586	  83.33023	  222.49304	  222.89983
 15	  483.69971	  173.58449	  283.15482	  283.53619
 16	  483.76074	  201.7023	  281.65466	  282.03668
 17	  476.19922	  175.67372	  296.18204	  296.55798
 17	  476.19922	  175.67372	  296.18204	  296.55798
 16	  483.76074	  201.7023	  281.65466	  282.03668
 18	  476.21454	  203.7496	  294.44989	  294.82654
 17	  476.19922	  175.67372	  296.18204	  296.55798
 18	  476.21454	  203.7496	  294.44989	  294.82654
 19	  474.15253	  176.24524	  299.81009	  300.18451
 19	  474.15253	  176.24524	  299.81009	  300.18451
 18	  476.21454	  203.7496	  294.44989	  294.82654
 20	  470.61426	  205.39209	  304.81409	  305.1864
 21	  470.54242	  78.0793	  312.66724	  313.03625
 19	  474.15253	  176.24524	  299.81009	  300.18451
 20	  470.61426	  205.39209	  304.81409	  305.1864
 22	  474.01672	  77.03355	  306.09018	  306.46198
 19	  474.15253	  176.24524	  299.81009	  300.18451
 21	  470.54242	  78.0793	  312.66724	  313.03625
 23	  521.36658	  74.38755	  301.22357	  301.59741
 24	  447.95813	  67.79055	  259.06705	  259.4585
 25	  521.56049	  42.93122	  303.08206	  303.45508
 25	  521.56049	  42.93122	  303.08206	  303.45508
 24	  447.95813	  67.79055	  259.06705	  259.4585
 26	  447.87854	  36.16803	  260.80435	  261.1951
 27	  347.74738	  81.73674	  213.06119	  213.47191
 28	  347.75513	  62.51052	  214.2157	  214.62595
 29	  366.40698	  83.3839	  223.56198	  223.96831
 29	  366.40698	  83.3839	  223.56198	  223.96831
 28	  347.75513	  62.51052	  214.2157	  214.62595
 30	  366.47308	  64.15999	  224.73447	  225.1403
 31	  353.26257	  64.03281	  204.90802	  205.32216
 32	  353.26257	  27.58809	  207.16998	  207.58316
 33	  358.09778	  64.44409	  207.53561	  207.94865
 33	  358.09778	  64.44409	  207.53561	  207.94865
 32	  353.26257	  27.58809	  207.16998	  207.58316
 34	  358.09778	  28.00834	  209.797	  210.20909
 35	  358.09784	  60.40158	  207.7865	  208.19943
 36	  358.09778	  28.00834	  209.797	  210.20909
 37	  379.26489	  62.35718	  220.24399	  220.65169
 37	  379.26489	  62.35718	  220.24399	  220.65169
 36	  358.09778	  28.00834	  209.797	  210.20909
 38	  379.39343	  29.98402	  222.14728	  222.5542
 39	  379.40198	  69.35075	  219.91348	  220.32132
 40	  379.26489	  62.35718	  220.24399	  220.65169
 41	  389.41376	  30.81376	  227.33408	  227.73882
 41	  389.41376	  30.81376	  227.33408	  227.73882
 40	  379.26489	  62.35718	  220.24399	  220.65169
 42	  379.39343	  29.98402	  222.14728	  222.5542
 43	  405.61029	  71.60392	  234.28516	  234.68698
 44	  389.43152	  70.13497	  224.90561	  225.31137
 45	  405.59058	  32.31369	  236.71039	  237.11122
 45	  405.59058	  32.31369	  236.71039	  237.11122
 44	  389.43152	  70.13497	  224.90561	  225.31137
 46	  389.41376	  30.81376	  227.33408	  227.73882
 47	  375.08136	  63.3749	  226.64291	  227.04794
 48	  375.08344	  70.36022	  226.21078	  226.61601
 49	  371.60223	  64.45275	  233.3862	  233.78841
