 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	 -295.51688	  421.45435	  555.14728	  555.41479
 1	 -297.54144	  460.40622	  556.16595	  556.43311
 2	 -295.51688	  459.86191	  552.76349	  553.03204
 3	 -311.58374	  137.11206	  665.83783	  666.05908
 4	 -308.63278	  138.80737	  676.43555	  676.65234
 5	 -311.58615	  158.81482	  664.49664	  664.71844
 5	 -311.58615	  158.81482	  664.49664	  664.71844
 4	 -308.63278	  138.80737	  676.43555	  676.65234
 6	 -308.63535	  160.51018	  675.0946	  675.31189
 7	 -475.51288	  149.86172	  983.01147	  983.09985
 8	 -475.58533	  253.05678	  977.01709	  977.10803
 9	 -484.05072	  149.05009	  977.93872	  978.02924
 9	 -484.05072	  149.05009	  977.93872	  978.02924
 8	 -475.58533	  253.05678	  977.01709	  977.10803
 10	 -484.32452	  252.22612	  971.82501	  971.91815
 11	 -475.51288	  149.86172	  983.01147	  983.09985
 12	 -485.01001	  152.60309	  999.26025	  999.34192
 13	 -475.58533	  253.05678	  977.01709	  977.10803
 13	 -475.58533	  253.05678	  977.01709	  977.10803
 12	 -485.01001	  152.60309	  999.26025	  999.34192
 14	 -485.08252	  255.798	  993.26611	  993.35028
 15	 -493.07745	  263.17853	  965.56049	  965.65625
 16	 -484.36163	  264.07309	  971.11182	  971.2052
 17	 -492.80292	  402.61438	  956.54993	  956.64935
 17	 -492.80292	  402.61438	  956.54993	  956.64935
 16	 -484.36163	  264.07309	  971.11182	  971.2052
 18	 -483.98242	  403.51971	  962.16785	  962.26501
 19	 -477.63684	  264.76337	  975.39502	  975.48669
 20	 -487.13397	  267.50464	  991.64386	  991.72864
 21	 -477.36237	  404.19919	  966.38446	  966.4798
 21	 -477.36237	  404.19919	  966.38446	  966.4798
 20	 -487.13397	  267.50464	  991.64386	  991.72864
 22	 -486.8595	  406.94055	  982.63324	  982.72186
 23	 -484.36163	  264.07309	  971.11182	  971.2052
 24	 -484.32452	  252.22612	  971.82501	  971.91815
 25	 -477.63684	  264.76337	  975.39502	  975.48669
 25	 -477.63684	  264.76337	  975.39502	  975.48669
 24	 -484.32452	  252.22612	  971.82501	  971.91815
 26	 -475.58533	  253.05678	  977.01709	  977.10803
 27	 -487.13397	  267.50464	  991.64386	  991.72864
 28	 -477.63684	  264.76337	  975.39502	  975.48669
 29	 -485.08252	  255.798	  993.26611	  993.35028
 29	 -485.08252	  255.798	  993.26611	  993.35028
 28	 -477.63684	  264.76337	  975.39502	  975.48669
 30	 -475.58533	  253.05678	  977.01709	  977.10803
 31	 -493.07745	  263.17853	  965.56049	  965.65625
 32	 -493.09052	  251.33702	  966.30157	  966.39697
 33	 -484.36163	  264.07309	  971.11182	  971.2052
 33	 -484.36163	  264.07309	  971.11182	  971.2052
 32	 -493.09052	  251.33702	  966.30157	  966.39697
 34	 -484.32452	  252.22612	  971.82501	  971.91815
 35	 -477.63684	  264.76337	  975.39502	  975.48669
 36	 -477.36237	  404.19919	  966.38446	  966.4798
 37	 -484.36163	  264.07309	  971.11182	  971.2052
 37	 -484.36163	  264.07309	  971.11182	  971.2052
 36	 -477.36237	  404.19919	  966.38446	  966.4798
 38	 -483.98242	  403.51971	  962.16785	  962.26501
 39	 -493.09052	  251.33702	  966.30157	  966.39697
 40	 -493.01776	  148.14185	  972.2959	  972.38879
 41	 -484.32452	  252.22612	  971.82501	  971.91815
 41	 -484.32452	  252.22612	  971.82501	  971.91815
 40	 -493.01776	  148.14185	  972.2959	  972.38879
 42	 -484.05072	  149.05009	  977.93872	  978.02924
 43	 -440.0343	  123.37409	  769.46283	  769.64063
 44	 -452.41913	  253.8922	  781.18353	  781.35645
 45	 -452.57202	  126.5635	  788.98303	  789.15271
 46	 -439.63275	  156.32178	  767.28992	  767.46863
 44	 -452.41913	  253.8922	  781.18353	  781.35645
 43	 -440.0343	  123.37409	  769.46283	  769.64063
 47	 -439.78638	  250.76941	  761.42102	  761.60217
 44	 -452.41913	  253.8922	  781.18353	  781.35645
 46	 -439.63275	  156.32178	  767.28992	  767.46863
 48	 -436.50513	  156.60422	  769.1178	  769.29572
 49	 -436.54434	  251.0369	  763.31567	  763.49603
 50	 -439.63275	  156.32178	  767.28992	  767.46863
