 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	 -2.74771	 -2.20157	  24.0678	  24.55762
 1	 -2.59406	 -1.50252	  24.16938	  24.65916
 2	 -2.59406	 -2.17861	  24.21135	  24.70111
 3	 -2.74771	 -1.52548	  24.02584	  24.51567
 1	 -2.59406	 -1.50252	  24.16938	  24.65916
 0	 -2.74771	 -2.20157	  24.0678	  24.55762
 4	 -2.82213	 -2.22732	  23.90689	  24.39678
 3	 -2.74771	 -1.52548	  24.02584	  24.51567
 0	 -2.74771	 -2.20157	  24.0678	  24.55762
 5	 -2.82213	 -1.55122	  23.86493	  24.35484
 3	 -2.74771	 -1.52548	  24.02584	  24.51567
 4	 -2.82213	 -2.22732	  23.90689	  24.39678
 4	 -2.82213	 -2.22732	  23.90689	  24.39678
 6	 -2.84087	 -1.57068	  23.74326	  24.23322
 5	 -2.82213	 -1.55122	  23.86493	  24.35484
 7	 -2.84086	 -2.24678	  23.78523	  24.27517
 6	 -2.84087	 -1.57068	  23.74326	  24.23322
 4	 -2.82213	 -2.22732	  23.90689	  24.39678
 8	 -2.83149	 -2.26265	  23.68604	  24.17602
 6	 -2.84087	 -1.57068	  23.74326	  24.23322
 7	 -2.84086	 -2.24678	  23.78523	  24.27517
 9	 -2.83149	 -1.58655	  23.64408	  24.13407
 6	 -2.84087	 -1.57068	  23.74326	  24.23322
 8	 -2.83149	 -2.26265	  23.68604	  24.17602
 10	 -2.79515	 -2.27971	  23.5794	  24.06942
 9	 -2.83149	 -1.58655	  23.64408	  24.13407
 8	 -2.83149	 -2.26265	  23.68604	  24.17602
 11	 -2.79515	 -1.60361	  23.53744	  24.02748
 9	 -2.83149	 -1.58655	  23.64408	  24.13407
 10	 -2.79515	 -2.27971	  23.5794	  24.06942
 12	 -2.73324	 -2.29294	  23.49664	  23.9867
 11	 -2.79515	 -1.60361	  23.53744	  24.02748
 10	 -2.79515	 -2.27971	  23.5794	  24.06942
 13	 -2.73324	 -1.61685	  23.45468	  23.94476
 11	 -2.79515	 -1.60361	  23.53744	  24.02748
 12	 -2.73324	 -2.29294	  23.49664	  23.9867
 14	 -2.65765	 -2.30414	  23.42667	  23.91675
 13	 -2.73324	 -1.61685	  23.45468	  23.94476
 12	 -2.73324	 -2.29294	  23.49664	  23.9867
 15	 -2.65765	 -1.62804	  23.3847	  23.87481
 13	 -2.73324	 -1.61685	  23.45468	  23.94476
 14	 -2.65765	 -2.30414	  23.42667	  23.91675
 16	 -2.56235	 -2.31239	  23.3751	  23.86521
 15	 -2.65765	 -1.62804	  23.3847	  23.87481
 14	 -2.65765	 -2.30414	  23.42667	  23.91675
 17	 -2.56235	 -1.63629	  23.33314	  23.82327
 15	 -2.65765	 -1.62804	  23.3847	  23.87481
 16	 -2.56235	 -2.31239	  23.3751	  23.86521
 18	 -2.01343	 -1.6058	  23.52371	  24.01376
 19	 -2.16708	 -1.62877	  23.38017	  23.87027
 20	 -2.01343	 -2.2819	  23.56568	  24.0557
 21	 -1.93918	 -2.25716	  23.72036	  24.21032
 18	 -2.01343	 -1.6058	  23.52371	  24.01376
 20	 -2.01343	 -2.2819	  23.56568	  24.0557
 20	 -2.01343	 -2.2819	  23.56568	  24.0557
 19	 -2.16708	 -1.62877	  23.38017	  23.87027
 22	 -2.16708	 -2.30486	  23.42213	  23.91222
 23	 -1.93918	 -1.58106	  23.67839	  24.16838
 18	 -2.01343	 -1.6058	  23.52371	  24.01376
 21	 -1.93918	 -2.25716	  23.72036	  24.21032
 19	 -2.16708	 -1.62877	  23.38017	  23.87027
 24	 -2.32471	 -1.63868	  23.31823	  23.80836
 22	 -2.16708	 -2.30486	  23.42213	  23.91222
 25	 -1.91464	 -2.23256	  23.87413	  24.36403
 23	 -1.93918	 -1.58106	  23.67839	  24.16838
 21	 -1.93918	 -2.25716	  23.72036	  24.21032
 22	 -2.16708	 -2.30486	  23.42213	  23.91222
 24	 -2.32471	 -1.63868	  23.31823	  23.80836
 26	 -2.32471	 -2.31478	  23.36019	  23.8503
 27	 -1.91464	 -1.55646	  23.83217	  24.32209
 23	 -1.93918	 -1.58106	  23.67839	  24.16838
 25	 -1.91464	 -2.23256	  23.87413	  24.36403
 24	 -2.32471	 -1.63868	  23.31823	  23.80836
 28	 -2.47715	 -1.64053	  23.30666	  23.79679
 26	 -2.32471	 -2.31478	  23.36019	  23.8503
 29	 -1.93312	 -2.21835	  23.96294	  24.4528
 27	 -1.91464	 -1.55646	  23.83217	  24.32209
 25	 -1.91464	 -2.23256	  23.87413	  24.36403
 26	 -2.32471	 -2.31478	  23.36019	  23.8503
 28	 -2.47715	 -1.64053	  23.30666	  23.79679
 30	 -2.47715	 -2.31662	  23.34863	  23.83875
 31	 -1.93312	 -1.54225	  23.92097	  24.41086
 27	 -1.91464	 -1.55646	  23.83217	  24.32209
 29	 -1.93312	 -2.21835	  23.96294	  24.4528
 28	 -2.47715	 -1.64053	  23.30666	  23.79679
 32	 -2.56235	 -1.63629	  23.33314	  23.82327
 30	 -2.47715	 -2.31662	  23.34863	  23.83875
 30	 -2.47715	 -2.31662	  23.34863	  23.83875
