 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 1489	 -0.51911	 -4.31393	  5.85089	  7.27506
 1508	 -0.53547	 -4.09591	  5.86699	  7.29098
 1512	 -0.55516	 -4.26968	  5.81761	  7.24217
 1508	 -0.53547	 -4.09591	  5.86699	  7.29098
 1478	 -0.47036	 -3.94694	  5.93698	  7.36017
 1509	 -0.50788	 -3.91373	  5.90112	  7.32472
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1478	 -0.47036	 -3.94694	  5.93698	  7.36017
 1508	 -0.53547	 -4.09591	  5.86699	  7.29098
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1508	 -0.53547	 -4.09591	  5.86699	  7.29098
 1489	 -0.51911	 -4.31393	  5.85089	  7.27506
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1489	 -0.51911	 -4.31393	  5.85089	  7.27506
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1484	 -0.55055	 -4.25961	  6.02201	  7.44422
 1486	 -0.60548	 -4.26678	  6.05728	  7.47909
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1484	 -0.55055	 -4.25961	  6.02201	  7.44422
 1484	 -0.55055	 -4.25961	  6.02201	  7.44422
 1485	 -0.56498	 -4.38698	  5.98582	  7.40844
 1486	 -0.60548	 -4.26678	  6.05728	  7.47909
 1486	 -0.60548	 -4.26678	  6.05728	  7.47909
 1485	 -0.56498	 -4.38698	  5.98582	  7.40844
 1487	 -0.62123	 -4.40576	  6.0178	  7.44006
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1487	 -0.62123	 -4.40576	  6.0178	  7.44006
 1485	 -0.56498	 -4.38698	  5.98582	  7.40844
 1507	 -0.65235	 -4.43577	  5.99775	  7.42025
 1487	 -0.62123	 -4.40576	  6.0178	  7.44006
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1507	 -0.65235	 -4.43577	  5.99775	  7.42025
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1487	 -0.62123	 -4.40576	  6.0178	  7.44006
 1507	 -0.65235	 -4.43577	  5.99775	  7.42025
 1472	 -0.7093	 -4.18638	  6.07416	  7.49577
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1472	 -0.7093	 -4.18638	  6.07416	  7.49577
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1472	 -0.7093	 -4.18638	  6.07416	  7.49577
 1473	 -0.67157	 -3.93717	  6.12085	  7.54192
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1473	 -0.67157	 -3.93717	  6.12085	  7.54192
 1505	 -0.66294	 -4.00294	  6.12956	  7.55053
 1473	 -0.67157	 -3.93717	  6.12085	  7.54192
 1482	 -0.59026	 -3.96835	  6.10741	  7.52864
 1505	 -0.66294	 -4.00294	  6.12956	  7.55053
 1505	 -0.66294	 -4.00294	  6.12956	  7.55053
 1482	 -0.59026	 -3.96835	  6.10741	  7.52864
 1504	 -0.60749	 -4.02383	  6.12047	  7.54155
 1484	 -0.55055	 -4.25961	  6.02201	  7.44422
 1488	 -0.56967	 -4.40721	  5.9511	  7.37413
 1485	 -0.56498	 -4.38698	  5.98582	  7.40844
 1478	 -0.47036	 -3.94694	  5.93698	  7.36017
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1480	 -0.51276	 -3.97883	  6.05159	  7.47347
 1480	 -0.51276	 -3.97883	  6.05159	  7.47347
 1479	 -0.49881	 -4.13477	  5.90179	  7.32539
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1480	 -0.51276	 -3.97883	  6.05159	  7.47347
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1482	 -0.59026	 -3.96835	  6.10741	  7.52864
 1482	 -0.59026	 -3.96835	  6.10741	  7.52864
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1481	 -0.54596	 -4.19808	  6.01052	  7.43286
 1486	 -0.60548	 -4.26678	  6.05728	  7.47909
 1487	 -0.62123	 -4.40576	  6.0178	  7.44006
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1486	 -0.60548	 -4.26678	  6.05728	  7.47909
 1482	 -0.59026	 -3.96835	  6.10741	  7.52864
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1504	 -0.60749	 -4.02383	  6.12047	  7.54155
 1504	 -0.60749	 -4.02383	  6.12047	  7.54155
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1502	 -0.62956	 -4.16954	  6.09317	  7.51457
 1483	 -0.62648	 -4.20759	  6.06259	  7.48434
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1502	 -0.62956	 -4.16954	  6.09317	  7.51457
 1502	 -0.62956	 -4.16954	  6.09317	  7.51457
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1504	 -0.60749	 -4.02383	  6.12047	  7.54155
 1504	 -0.60749	 -4.02383	  6.12047	  7.54155
 1503	 -0.68592	 -4.15472	  6.10112	  7.52243
 1505	 -0.66294	 -4.00294	  6.12956	  7.55053
