 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 274	  4.19593	 -8.33895	  11.06967	  12.50212
 249	  4.33563	 -7.2585	  11.31318	  12.74423
 41	  4.21275	 -8.31983	  11.05181	  12.48436
 248	  4.31951	 -7.07208	  11.34367	  12.77455
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 249	  4.33563	 -7.2585	  11.31318	  12.74423
 249	  4.33563	 -7.2585	  11.31318	  12.74423
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 250	  4.35173	 -7.24019	  11.29607	  12.72723
 41	  4.21275	 -8.31983	  11.05181	  12.48436
 249	  4.33563	 -7.2585	  11.31318	  12.74423
 250	  4.35173	 -7.24019	  11.29607	  12.72723
 41	  4.21275	 -8.31983	  11.05181	  12.48436
 250	  4.35173	 -7.24019	  11.29607	  12.72723
 1	  4.16932	 -8.29363	  11.04462	  12.47721
 1	  4.16932	 -8.29363	  11.04462	  12.47721
 250	  4.35173	 -7.24019	  11.29607	  12.72723
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 1	  4.16932	 -8.29363	  11.04462	  12.47721
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 3	  4.12277	 -8.27839	  11.04598	  12.47856
 3	  4.12277	 -8.27839	  11.04598	  12.47856
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 3	  4.12277	 -8.27839	  11.04598	  12.47856
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 5	  4.07764	 -8.27559	  11.05574	  12.48827
 5	  4.07764	 -8.27559	  11.05574	  12.48827
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 197	  4.27482	 -6.82937	  11.38748	  12.81812
 5	  4.07764	 -8.27559	  11.05574	  12.48827
 197	  4.27482	 -6.82937	  11.38748	  12.81812
 7	  4.03835	 -8.28551	  11.07296	  12.5054
 7	  4.03835	 -8.28551	  11.07296	  12.5054
 197	  4.27482	 -6.82937	  11.38748	  12.81812
 201	  4.24128	 -6.79715	  11.41437	  12.84485
 7	  4.03835	 -8.28551	  11.07296	  12.5054
 201	  4.24128	 -6.79715	  11.41437	  12.84485
 9	  4.00876	 -8.30719	  11.09596	  12.52826
 9	  4.00876	 -8.30719	  11.09596	  12.52826
 201	  4.24128	 -6.79715	  11.41437	  12.84485
 205	  4.213	 -6.80917	  11.43958	  12.86991
 205	  4.213	 -6.80917	  11.43958	  12.86991
 208	  4.19467	 -6.85013	  11.46387	  12.89407
 9	  4.00876	 -8.30719	  11.09596	  12.52826
 208	  4.19467	 -6.85013	  11.46387	  12.89407
 205	  4.213	 -6.80917	  11.43958	  12.86991
 209	  4.21204	 -6.85395	  11.46205	  12.89226
 209	  4.21204	 -6.85395	  11.46205	  12.89226
 205	  4.213	 -6.80917	  11.43958	  12.86991
 204	  4.2268	 -6.81972	  11.44343	  12.87375
 204	  4.2268	 -6.81972	  11.44343	  12.87375
 205	  4.213	 -6.80917	  11.43958	  12.86991
 206	  4.2487	 -6.81229	  11.42312	  12.85355
 206	  4.2487	 -6.81229	  11.42312	  12.85355
 205	  4.213	 -6.80917	  11.43958	  12.86991
 201	  4.24128	 -6.79715	  11.41437	  12.84485
 198	  4.29797	 -6.92867	  11.37371	  12.80443
 197	  4.27482	 -6.82937	  11.38748	  12.81812
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 196	  4.27368	 -6.8465	  11.39986	  12.83043
 197	  4.27482	 -6.82937	  11.38748	  12.81812
 198	  4.29797	 -6.92867	  11.37371	  12.80443
 191	  4.29797	 -6.92867	  11.37371	  12.80443
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 193	  4.31951	 -7.07208	  11.34367	  12.77455
 193	  4.31951	 -7.07208	  11.34367	  12.77455
 192	  4.30902	 -6.91235	  11.35932	  12.79012
 194	  4.33501	 -7.05482	  11.32746	  12.75843
 200	  4.2487	 -6.81229	  11.42312	  12.85355
 201	  4.24128	 -6.79715	  11.41437	  12.84485
 202	  4.27368	 -6.8465	  11.39986	  12.83043
