 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  25.73527	 -10.53056	  76.11662	  77.17733
 1	  29.88281	 -10.53056	  76.11662	  77.17733
 2	  29.88281	 -17.35096	  76.11662	  77.17732
 0	  25.73527	 -10.53056	  76.11662	  77.17733
 2	  29.88281	 -17.35096	  76.11662	  77.17732
 3	  25.73527	 -17.35096	  76.11662	  77.17732
 4	  26.68517	 -10.33729	  76.07527	  77.13622
 5	  31.4626	 -10.33729	  76.07529	  77.13622
 6	  31.4626	 -18.1935	  76.07529	  77.13622
 4	  26.68517	 -10.33729	  76.07527	  77.13622
 6	  31.4626	 -18.1935	  76.07529	  77.13622
 7	  26.68517	 -18.1935	  76.07527	  77.13622
 8	  25.01029	 -10.25562	  76.06392	  77.12492
 9	  30.27722	 -10.25562	  76.06392	  77.12492
 10	  30.27722	 -18.91679	  76.06392	  77.12492
 8	  25.01029	 -10.25562	  76.06392	  77.12492
 10	  30.27722	 -18.91679	  76.06392	  77.12492
 11	  25.01029	 -18.91679	  76.06392	  77.12492
 12	  25.85189	 -9.84732	  76.02049	  77.08174
 13	  30.53425	 -9.84732	  76.02049	  77.08173
 14	  30.53425	 -17.54721	  76.02049	  77.08174
 12	  25.85189	 -9.84732	  76.02049	  77.08174
 14	  30.53425	 -17.54721	  76.02049	  77.08174
 15	  25.85189	 -17.54721	  76.02049	  77.08175
 16	  27.23931	 -10.95792	  75.98439	  77.04585
 17	  31.5797	 -10.95792	  75.98441	  77.04586
 18	  31.5797	 -18.09547	  75.98441	  77.04586
 16	  27.23931	 -10.95792	  75.98439	  77.04585
 18	  31.5797	 -18.09547	  75.98441	  77.04586
 19	  27.23931	 -18.09547	  75.98439	  77.04585
 20	  29.59355	 -10.13929	  75.80435	  76.86684
 21	  34.22724	 -10.13929	  75.80435	  76.86684
 22	  34.22723	 -17.75914	  75.80435	  76.86684
 20	  29.59355	 -10.13929	  75.80435	  76.86684
 22	  34.22723	 -17.75914	  75.80435	  76.86684
 23	  29.59355	 -17.75914	  75.80435	  76.86684
 24	  25.82435	 -11.17856	  75.90504	  76.96695
 25	  28.9446	 -11.17856	  75.90504	  76.96696
 26	  28.9446	 -16.30964	  75.90504	  76.96696
 24	  25.82435	 -11.17856	  75.90504	  76.96695
 26	  28.9446	 -16.30964	  75.90504	  76.96696
 27	  25.82435	 -16.30964	  75.90504	  76.96695
 28	  28.54368	 -10.85903	  75.74701	  76.80981
 29	  32.66116	 -10.85902	  75.74699	  76.80981
 30	  32.66116	 -17.62998	  75.74699	  76.80981
 28	  28.54368	 -10.85903	  75.74701	  76.80981
 30	  32.66116	 -17.62998	  75.74699	  76.80981
 31	  28.54368	 -17.62998	  75.74701	  76.80982
 32	  26.92365	 -9.99998	  75.76305	  76.82576
 33	  32.69476	 -9.99998	  75.76305	  76.82577
 34	  32.69476	 -19.49024	  75.76305	  76.82577
 32	  26.92365	 -9.99998	  75.76305	  76.82576
 34	  32.69476	 -19.49024	  75.76305	  76.82577
 35	  26.92365	 -19.49024	  75.76305	  76.82577
 36	  32.92142	 -10.486	  75.56378	  76.62763
 37	  37.74599	 -10.486	  75.56377	  76.62763
 38	  37.74599	 -18.41974	  75.56377	  76.62762
 36	  32.92142	 -10.486	  75.56378	  76.62763
 38	  37.74599	 -18.41974	  75.56377	  76.62762
 39	  32.92142	 -18.41974	  75.56377	  76.62763
 40	  25.9447	 -12.64396	  75.79784	  76.86036
 41	  27.39702	 -12.64396	  75.79784	  76.86036
 42	  27.39703	 -15.03223	  75.79784	  76.86037
 40	  25.9447	 -12.64396	  75.79784	  76.86036
 42	  27.39703	 -15.03223	  75.79784	  76.86037
 43	  25.9447	 -15.03223	  75.79784	  76.86036
 44	  25.13265	 -10.05276	  75.74417	  76.80701
 45	  30.79004	 -10.05276	  75.74417	  76.80701
 46	  30.79004	 -19.35602	  75.74417	  76.80701
 44	  25.13265	 -10.05276	  75.74417	  76.80701
 46	  30.79004	 -19.35602	  75.74417	  76.80701
 47	  25.13265	 -19.35602	  75.74417	  76.80701
 48	  27.58611	 -10.28052	  75.60703	  76.67065
 49	  32.70978	 -10.28052	  75.60704	  76.67065
 50	  32.70977	 -18.7061	  75.60703	  76.67064
 48	  27.58611	 -10.28052	  75.60703	  76.67065
 50	  32.70977	 -18.7061	  75.60703	  76.67064
 51	  27.58611	 -18.7061	  75.60703	  76.67064
 52	  26.43482	 -10.41198	  75.62239	  76.68591
 53	  30.82892	 -10.41198	  75.62239	  76.68591
 54	  30.82893	 -17.63785	  75.62239	  76.68591
 52	  26.43482	 -10.41198	  75.62239	  76.68591
 54	  30.82893	 -17.63785	  75.62239	  76.68591
 55	  26.43482	 -17.63785	  75.62239	  76.68591
 56	  30.63751	 -10.49698	  75.47923	  76.54357
 57	  34.99019	 -10.49698	  75.47922	  76.54356
 58	  34.99019	 -17.65471	  75.47922	  76.54356
 56	  30.63751	 -10.49698	  75.47923	  76.54357
 58	  34.99019	 -17.65471	  75.47922	  76.54356
 59	  30.63751	 -17.65471	  75.47923	  76.54357
 60	  32.96532	 -10.1366	  75.36726	  76.43225
 61	  37.90951	 -10.1366	  75.36726	  76.43225
 62	  37.90951	 -18.26704	  75.36728	  76.43226
 60	  32.96532	 -10.1366	  75.36726	  76.43225
