 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	 -4.09395	  1.09355	  10.73039	  10.92994
 1	 -4.19913	  1.15801	  10.98674	  11.18628
 2	 -4.20683	  1.15049	  10.98414	  11.18368
 0	 -4.09395	  1.09355	  10.73039	  10.92994
 2	 -4.20683	  1.15049	  10.98414	  11.18368
 3	 -4.10147	  1.08526	  10.73013	  10.92968
 4	 -3.93038	  1.16372	  11.00565	  11.20519
 5	 -4.19913	  1.15801	  10.98674	  11.18628
 6	 -4.09395	  1.09355	  10.73039	  10.92994
 4	 -3.93038	  1.16372	  11.00565	  11.20519
 6	 -4.09395	  1.09355	  10.73039	  10.92994
 7	 -3.84798	  1.09993	  10.74723	  10.94678
 8	 -3.84277	  1.08268	  10.73032	  10.92987
 9	 -3.84299	  1.09377	  10.73148	  10.93104
 10	 -4.05816	  1.08925	  10.71679	  10.91634
 8	 -3.84277	  1.08268	  10.73032	  10.92987
 10	 -4.05816	  1.08925	  10.71679	  10.91634
 11	 -4.05494	  1.0783	  10.71572	  10.91527
 12	 -4.01111	  1.02076	  10.49747	  10.69703
 13	 -4.09395	  1.09355	  10.73039	  10.92994
 14	 -4.10147	  1.08526	  10.73013	  10.92968
 12	 -4.01111	  1.02076	  10.49747	  10.69703
 14	 -4.10147	  1.08526	  10.73013	  10.92968
 15	 -4.01848	  1.01241	  10.49685	  10.69641
 16	 -3.98951	  1.01161	  10.4991	  10.69866
 17	 -3.99351	  1.0219	  10.49869	  10.69825
 18	 -3.93548	  1.03573	  10.39467	  10.59423
 16	 -3.98951	  1.01161	  10.4991	  10.69866
 18	 -3.93548	  1.03573	  10.39467	  10.59423
 19	 -3.93138	  1.02546	  10.39492	  10.59448
 20	 -3.92434	  1.02808	  10.28608	  10.48564
 21	 -3.96603	  1.03365	  10.39269	  10.59226
 22	 -3.97375	  1.02501	  10.39289	  10.59245
 20	 -3.92434	  1.02808	  10.28608	  10.48564
 22	 -3.97375	  1.02501	  10.39289	  10.59245
 23	 -3.93183	  1.01965	  10.2858	  10.48537
 24	 -3.8156	  0.91318	  9.9672	  10.16678
 25	 -3.71627	  0.92031	  9.97386	  10.17344
 26	 -3.76961	  1.00087	  10.18023	  10.37981
 24	 -3.8156	  0.91318	  9.9672	  10.16678
 26	 -3.76961	  1.00087	  10.18023	  10.37981
 27	 -3.88449	  1.0097	  10.21204	  10.41161
 24	 -3.8156	  0.91318	  9.9672	  10.16678
 27	 -3.88449	  1.0097	  10.21204	  10.41161
 28	 -3.92434	  1.02808	  10.28608	  10.48564
 29	 -3.8156	  0.91318	  9.9672	  10.16678
 30	 -3.92434	  1.02808	  10.28608	  10.48564
 31	 -3.93183	  1.01965	  10.2858	  10.48537
 29	 -3.8156	  0.91318	  9.9672	  10.16678
 31	 -3.93183	  1.01965	  10.2858	  10.48537
 32	 -3.82307	  0.90478	  9.96694	  10.16653
 33	 -3.68819	  0.60144	  9.61356	  9.81316
 34	 -3.64014	  0.61254	  9.60075	  9.80035
 35	 -3.70887	  0.82828	  9.7849	  9.98449
 33	 -3.68819	  0.60144	  9.61356	  9.81316
 35	 -3.70887	  0.82828	  9.7849	  9.98449
 36	 -3.8156	  0.91318	  9.9672	  10.16678
 37	 -3.68819	  0.60144	  9.61356	  9.81316
 38	 -3.8156	  0.91318	  9.9672	  10.16678
 39	 -3.82307	  0.90478	  9.96694	  10.16653
 37	 -3.68819	  0.60144	  9.61356	  9.81316
 39	 -3.82307	  0.90478	  9.96694	  10.16653
 40	 -3.72345	  0.56445	  9.63147	  9.83106
 41	 -4.19775	  0.79347	  10.86463	  11.06417
 42	 -4.15796	  0.72179	  10.73772	  10.93727
 43	 -4.1238	  1.00256	  10.7312	  10.93075
 41	 -4.19775	  0.79347	  10.86463	  11.06417
 43	 -4.1238	  1.00256	  10.7312	  10.93075
 44	 -4.21706	  1.07609	  10.96236	  11.16191
 41	 -4.19775	  0.79347	  10.86463	  11.06417
 44	 -4.21706	  1.07609	  10.96236	  11.16191
 45	 -4.21028	  0.87827	  10.90719	  11.10674
 46	 -4.15796	  0.72179	  10.73772	  10.93727
 47	 -4.08479	  0.59024	  10.50544	  10.705
 48	 -4.04072	  0.93047	  10.49772	  10.69728
 46	 -4.15796	  0.72179	  10.73772	  10.93727
 48	 -4.04072	  0.93047	  10.49772	  10.69728
 49	 -4.1238	  1.00256	  10.7312	  10.93075
 47	 -4.08479	  0.59024	  10.50544	  10.705
 50	 -4.01922	  0.47369	  10.29704	  10.49661
 51	 -3.95405	  0.93622	  10.2869	  10.48646
 47	 -4.08479	  0.59024	  10.50544	  10.705
 51	 -3.95405	  0.93622	  10.2869	  10.48646
 52	 -4.04072	  0.93047	  10.49772	  10.69728
 53	 -4.01922	  0.47369	  10.29704	  10.49661
 54	 -3.91797	  0.30352	  9.9794	  10.17899
 55	 -3.84506	  0.82183	  9.96805	  10.16763
 53	 -4.01922	  0.47369	  10.29704	  10.49661
 55	 -3.84506	  0.82183	  9.96805	  10.16763
 56	 -3.95405	  0.93622	  10.2869	  10.48646
 57	 -3.91797	  0.30352	  9.9794	  10.17899
 58	 -3.80077	  0.10922	  9.64922	  9.84881
 59	 -3.74026	  0.50183	  9.64355	  9.84315
 57	 -3.91797	  0.30352	  9.9794	  10.17899
 59	 -3.74026	  0.50183	  9.64355	  9.84315
 60	 -3.84506	  0.82183	  9.96805	  10.16763
 61	 -4.21706	  1.07609	  10.96236	  11.16191
 62	 -4.1238	  1.00256	  10.7312	  10.93075
 63	 -4.10147	  1.08526	  10.73013	  10.92968
 61	 -4.21706	  1.07609	  10.96236	  11.16191
 63	 -4.10147	  1.08526	  10.73013	  10.92968
 64	 -4.20683	  1.15049	  10.98414	  11.18368
 65	 -4.1238	  1.00256	  10.7312	  10.93075
 66	 -4.04072	  0.93047	  10.49772	  10.69728
 67	 -4.01848	  1.01241	  10.49685	  10.69641
 65	 -4.1238	  1.00256	  10.7312	  10.93075
 67	 -4.01848	  1.01241	  10.49685	  10.69641
 68	 -4.10147	  1.08526	  10.73013	  10.92968
 69	 -4.04072	  0.93047	  10.49772	  10.69728
 70	 -3.95405	  0.93622	  10.2869	  10.48646
 71	 -3.93183	  1.01965	  10.2858	  10.48537
 69	 -4.04072	  0.93047	  10.49772	  10.69728
 71	 -3.93183	  1.01965	  10.2858	  10.48537
 72	 -3.97375	  1.02501	  10.39289	  10.59245
 69	 -4.04072	  0.93047	  10.49772	  10.69728
 72	 -3.97375	  1.02501	  10.39289	  10.59245
 73	 -4.01848	  1.01241	  10.49685	  10.69641
 74	 -3.95405	  0.93622	  10.2869	  10.48646
 75	 -3.84506	  0.82183	  9.96805	  10.16763
 76	 -3.82307	  0.90478	  9.96694	  10.16653
 74	 -3.95405	  0.93622	  10.2869	  10.48646
 76	 -3.82307	  0.90478	  9.96694	  10.16653
 77	 -3.93183	  1.01965	  10.2858	  10.48537
 78	 -3.84506	  0.82183	  9.96805	  10.16763
 79	 -3.74026	  0.50183	  9.64355	  9.84315
 80	 -3.72345	  0.56445	  9.63147	  9.83106
 78	 -3.84506	  0.82183	  9.96805	  10.16763
 80	 -3.72345	  0.56445	  9.63147	  9.83106
 81	 -3.82307	  0.90478	  9.96694	  10.16653
 82	 -3.48381	  0.62004	  9.5966	  9.79619
 83	 -3.5798	  0.61984	  9.59499	  9.79459
 84	 -3.57745	  0.60396	  9.58818	  9.78778
 82	 -3.48381	  0.62004	  9.5966	  9.79619
 84	 -3.57745	  0.60396	  9.58818	  9.78778
 85	 -3.48179	  0.60394	  9.58961	  9.78921
 86	 -3.68819	  0.60144	  9.61356	  9.81316
 87	 -3.72345	  0.56445	  9.63147	  9.83106
 88	 -3.72008	  0.54824	  9.62317	  9.82277
 86	 -3.68819	  0.60144	  9.61356	  9.81316
 88	 -3.72008	  0.54824	  9.62317	  9.82277
 89	 -3.68562	  0.58446	  9.60575	  9.80535
 90	 -3.72345	  0.56445	  9.63147	  9.83106
 91	 -3.74026	  0.50183	  9.64355	  9.84315
 92	 -3.73604	  0.48911	  9.63516	  9.83475
 90	 -3.72345	  0.56445	  9.63147	  9.83106
 92	 -3.73604	  0.48911	  9.63516	  9.83475
 93	 -3.72008	  0.54824	  9.62317	  9.82277
 94	 -3.74026	  0.50183	  9.64355	  9.84315
 95	 -3.80077	  0.10922	  9.64922	  9.84881
 96	 -3.79319	  0.10253	  9.63679	  9.83639
 94	 -3.74026	  0.50183	  9.64355	  9.84315
 96	 -3.79319	  0.10253	  9.63679	  9.83639
 97	 -3.73604	  0.48911	  9.63516	  9.83475
 98	 -3.68559	  0.5347	  9.60385	  9.80344
 99	 -3.63784	  0.54656	  9.5919	  9.7915
 100	 -3.63778	  0.59629	  9.59354	  9.79314
 98	 -3.68559	  0.5347	  9.60385	  9.80344
 100	 -3.63778	  0.59629	  9.59354	  9.79314
 101	 -3.68562	  0.58446	  9.60575	  9.80535
 102	 -3.71303	  0.50672	  9.6178	  9.8174
 103	 -3.68559	  0.5347	  9.60385	  9.80344
 104	 -3.68562	  0.58446	  9.60575	  9.80535
 102	 -3.71303	  0.50672	  9.6178	  9.8174
 104	 -3.68562	  0.58446	  9.60575	  9.80535
 105	 -3.72008	  0.54824	  9.62317	  9.82277
 106	 -3.71918	  0.46189	  9.62332	  9.82291
 107	 -3.71303	  0.50672	  9.6178	  9.8174
 108	 -3.72008	  0.54824	  9.62317	  9.82277
 106	 -3.71918	  0.46189	  9.62332	  9.82291
 108	 -3.72008	  0.54824	  9.62317	  9.82277
 109	 -3.73604	  0.48911	  9.63516	  9.83475
 110	 -3.77323	  0.09645	  9.62494	  9.82453
 111	 -3.71918	  0.46189	  9.62332	  9.82291
 112	 -3.73604	  0.48911	  9.63516	  9.83475
 110	 -3.77323	  0.09645	  9.62494	  9.82453
 112	 -3.73604	  0.48911	  9.63516	  9.83475
 113	 -3.79319	  0.10253	  9.63679	  9.83639
 114	 -4.15796	  0.72179	  10.73772	  10.93727
 115	 -4.19775	  0.79347	  10.86463	  11.06417
 116	 -4.19354	  0.78432	  10.86521	  11.06475
 114	 -4.15796	  0.72179	  10.73772	  10.93727
 116	 -4.19354	  0.78432	  10.86521	  11.06475
 117	 -4.15375	  0.713	  10.73829	  10.93784
 118	 -4.08479	  0.59024	  10.50544	  10.705
 119	 -4.15796	  0.72179	  10.73772	  10.93727
 120	 -4.15375	  0.713	  10.73829	  10.93784
 118	 -4.08479	  0.59024	  10.50544	  10.705
 120	 -4.15375	  0.713	  10.73829	  10.93784
 121	 -4.08061	  0.58146	  10.50601	  10.70557
 122	 -4.01922	  0.47369	  10.29704	  10.49661
 123	 -4.08479	  0.59024	  10.50544	  10.705
 124	 -4.08061	  0.58146	  10.50601	  10.70557
 122	 -4.01922	  0.47369	  10.29704	  10.49661
 124	 -4.08061	  0.58146	  10.50601	  10.70557
 125	 -4.01508	  0.46494	  10.29765	  10.49722
 126	 -3.91797	  0.30352	  9.9794	  10.17899
 127	 -4.01922	  0.47369	  10.29704	  10.49661
 128	 -4.01508	  0.46494	  10.29765	  10.49722
 126	 -3.91797	  0.30352	  9.9794	  10.17899
 128	 -4.01508	  0.46494	  10.29765	  10.49722
 129	 -3.91515	  0.28483	  9.98019	  10.17977
 130	 -3.80077	  0.10922	  9.64922	  9.84881
 131	 -3.91797	  0.30352	  9.9794	  10.17899
 132	 -3.91515	  0.28483	  9.98019	  10.17977
 130	 -3.80077	  0.10922	  9.64922	  9.84881
 132	 -3.91515	  0.28483	  9.98019	  10.17977
 133	 -3.79654	  0.10047	  9.64972	  9.84931
 134	 -3.79319	  0.10253	  9.63679	  9.83639
 135	 -3.80077	  0.10922	  9.64922	  9.84881
 136	 -3.79654	  0.10047	  9.64972	  9.84931
 134	 -3.79319	  0.10253	  9.63679	  9.83639
 136	 -3.79654	  0.10047	  9.64972	  9.84931
 137	 -3.78858	  0.09368	  9.63712	  9.83672
 138	 -3.77323	  0.09645	  9.62494	  9.82453
 139	 -3.79319	  0.10253	  9.63679	  9.83639
 140	 -3.78858	  0.09368	  9.63712	  9.83672
 138	 -3.77323	  0.09645	  9.62494	  9.82453
 140	 -3.78858	  0.09368	  9.63712	  9.83672
 141	 -3.7679	  0.08761	  9.62544	  9.82503
 142	 -4.17679	  0.78369	  10.86639	  11.06593
 143	 -4.137	  0.71237	  10.73947	  10.93902
 144	 -4.15375	  0.713	  10.73829	  10.93784
 142	 -4.17679	  0.78369	  10.86639	  11.06593
 144	 -4.15375	  0.713	  10.73829	  10.93784
 145	 -4.19354	  0.78432	  10.86521	  11.06475
 146	 -4.137	  0.71237	  10.73947	  10.93902
 147	 -4.06385	  0.58083	  10.5072	  10.70676
 148	 -4.08061	  0.58146	  10.50601	  10.70557
 146	 -4.137	  0.71237	  10.73947	  10.93902
 148	 -4.08061	  0.58146	  10.50601	  10.70557
 149	 -4.15375	  0.713	  10.73829	  10.93784
 150	 -4.06385	  0.58083	  10.5072	  10.70676
 151	 -3.99834	  0.46432	  10.29885	  10.49842
 152	 -4.01508	  0.46494	  10.29765	  10.49722
 150	 -4.06385	  0.58083	  10.5072	  10.70676
 152	 -4.01508	  0.46494	  10.29765	  10.49722
 153	 -4.08061	  0.58146	  10.50601	  10.70557
 154	 -3.99834	  0.46432	  10.29885	  10.49842
 155	 -3.89839	  0.2842	  9.98137	  10.18095
 156	 -3.91515	  0.28483	  9.98019	  10.17977
 154	 -3.99834	  0.46432	  10.29885	  10.49842
 156	 -3.91515	  0.28483	  9.98019	  10.17977
 157	 -4.01508	  0.46494	  10.29765	  10.49722
 158	 -3.89839	  0.2842	  9.98137	  10.18095
 159	 -3.77994	  0.09984	  9.65088	  9.85048
 160	 -3.79654	  0.10047	  9.64972	  9.84931
 158	 -3.89839	  0.2842	  9.98137	  10.18095
 160	 -3.79654	  0.10047	  9.64972	  9.84931
 161	 -3.91515	  0.28483	  9.98019	  10.17977
 162	 -3.77994	  0.09984	  9.65088	  9.85048
 163	 -3.77199	  0.09302	  9.63821	  9.8378
 164	 -3.78858	  0.09368	  9.63712	  9.83672
 162	 -3.77994	  0.09984	  9.65088	  9.85048
 164	 -3.78858	  0.09368	  9.63712	  9.83672
