 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	 -27.76892	 -2.59112	  22.4078	  22.60651
 1	 -27.83458	 -2.61183	  22.40267	  22.60138
 2	 -27.30627	 -2.31889	  22.443	  22.64171
 3	 -27.30627	 -2.31889	  22.443	  22.64171
 4	 -27.29992	 -2.35541	  22.44378	  22.64248
 5	 -27.66973	 -2.55983	  22.41554	  22.61425
 6	 -27.76892	 -2.59112	  22.4078	  22.60651
 3	 -27.30627	 -2.31889	  22.443	  22.64171
 5	 -27.66973	 -2.55983	  22.41554	  22.61425
 7	 -27.27203	 -2.58997	  22.35875	  22.55746
 8	 -27.73344	 -2.8433	  22.32413	  22.52284
 9	 -27.66973	 -2.55983	  22.41554	  22.61425
 7	 -27.27203	 -2.58997	  22.35875	  22.55746
 9	 -27.66973	 -2.55983	  22.41554	  22.61425
 10	 -27.29992	 -2.35541	  22.44378	  22.64248
 7	 -27.27203	 -2.58997	  22.35875	  22.55746
 10	 -27.29992	 -2.35541	  22.44378	  22.64248
 11	 -27.13155	 -2.26148	  22.45693	  22.65563
 12	 -28.87828	 -3.07507	  22.26065	  22.45937
 13	 -29.12035	 -3.20973	  22.2424	  22.44112
 14	 -28.59286	 -3.10388	  22.26247	  22.46119
 15	 -27.84092	 -2.69898	  22.31774	  22.51646
 12	 -28.87828	 -3.07507	  22.26065	  22.45937
 14	 -28.59286	 -3.10388	  22.26247	  22.46119
 16	 -27.82182	 -2.6989	  22.31808	  22.51679
 15	 -27.84092	 -2.69898	  22.31774	  22.51646
 14	 -28.59286	 -3.10388	  22.26247	  22.46119
 17	 -27.82182	 -2.6989	  22.31808	  22.51679
 18	 -28.59286	 -3.10388	  22.26247	  22.46119
 19	 -28.48117	 -3.08147	  22.26672	  22.46544
 17	 -27.82182	 -2.6989	  22.31808	  22.51679
 19	 -28.48117	 -3.08147	  22.26672	  22.46544
 20	 -27.78881	 -2.69875	  22.31865	  22.51737
 21	 -27.25895	 -2.29019	  22.44649	  22.6452
 22	 -27.25396	 -2.28846	  22.44707	  22.64578
 23	 -27.30627	 -2.31889	  22.443	  22.64171
 24	 -27.30627	 -2.31889	  22.443	  22.64171
 25	 -27.30553	 -2.30629	  22.44104	  22.63975
 26	 -27.25895	 -2.29019	  22.44649	  22.6452
 27	 -27.25396	 -2.28846	  22.44707	  22.64578
 28	 -27.13155	 -2.26148	  22.45693	  22.65563
 29	 -27.29992	 -2.35541	  22.44378	  22.64248
 29	 -27.29992	 -2.35541	  22.44378	  22.64248
 30	 -27.30627	 -2.31889	  22.443	  22.64171
 27	 -27.25396	 -2.28846	  22.44707	  22.64578
 31	 -28.72785	 -2.98304	  22.27848	  22.4772
 32	 -28.04108	 -2.56284	  22.35988	  22.55859
 33	 -28.85795	 -3.01781	  22.29786	  22.49658
 31	 -28.72785	 -2.98304	  22.27848	  22.4772
 33	 -28.85795	 -3.01781	  22.29786	  22.49658
 34	 -29.06191	 -3.16699	  22.25476	  22.45347
 35	 -28.87828	 -3.07507	  22.26065	  22.45937
 36	 -28.72785	 -2.98304	  22.27848	  22.4772
 37	 -29.06191	 -3.16699	  22.25476	  22.45347
 35	 -28.87828	 -3.07507	  22.26065	  22.45937
 37	 -29.06191	 -3.16699	  22.25476	  22.45347
 38	 -29.12035	 -3.20973	  22.2424	  22.44112
 39	 -27.84092	 -2.69898	  22.31774	  22.51646
 40	 -27.96268	 -2.52452	  22.36672	  22.56543
 41	 -28.04108	 -2.56284	  22.35988	  22.55859
 39	 -27.84092	 -2.69898	  22.31774	  22.51646
 41	 -28.04108	 -2.56284	  22.35988	  22.55859
 42	 -28.72785	 -2.98304	  22.27848	  22.4772
 39	 -27.84092	 -2.69898	  22.31774	  22.51646
 42	 -28.72785	 -2.98304	  22.27848	  22.4772
 43	 -28.87828	 -3.07507	  22.26065	  22.45937
 44	 -27.73344	 -2.8433	  22.32413	  22.52284
 45	 -27.80723	 -2.86629	  22.31846	  22.51717
 46	 -27.97122	 -2.66539	  22.38857	  22.58728
 44	 -27.73344	 -2.8433	  22.32413	  22.52284
 46	 -27.97122	 -2.66539	  22.38857	  22.58728
 47	 -27.83458	 -2.61183	  22.40267	  22.60138
 44	 -27.73344	 -2.8433	  22.32413	  22.52284
 47	 -27.83458	 -2.61183	  22.40267	  22.60138
 48	 -27.76892	 -2.59112	  22.4078	  22.60651
 44	 -27.73344	 -2.8433	  22.32413	  22.52284
 48	 -27.76892	 -2.59112	  22.4078	  22.60651
 49	 -27.66973	 -2.55983	  22.41554	  22.61425
 50	 -28.59286	 -3.10388	  22.26247	  22.46119
 51	 -29.12035	 -3.20973	  22.2424	  22.44112
 52	 -29.06191	 -3.16699	  22.25476	  22.45347
 50	 -28.59286	 -3.10388	  22.26247	  22.46119
 52	 -29.06191	 -3.16699	  22.25476	  22.45347
 53	 -28.85795	 -3.01781	  22.29786	  22.49658
 50	 -28.59286	 -3.10388	  22.26247	  22.46119
 53	 -28.85795	 -3.01781	  22.29786	  22.49658
 54	 -28.68521	 -2.94916	  22.31553	  22.51425
 55	 -28.48117	 -3.08147	  22.26672	  22.46544
 50	 -28.59286	 -3.10388	  22.26247	  22.46119
 54	 -28.68521	 -2.94916	  22.31553	  22.51425
 56	 -27.80723	 -2.86629	  22.31846	  22.51717
 55	 -28.48117	 -3.08147	  22.26672	  22.46544
 54	 -28.68521	 -2.94916	  22.31553	  22.51425
 56	 -27.80723	 -2.86629	  22.31846	  22.51717
 54	 -28.68521	 -2.94916	  22.31553	  22.51425
 57	 -27.97122	 -2.66539	  22.38857	  22.58728
 58	 -27.73344	 -2.8433	  22.32413	  22.52284
 59	 -27.27203	 -2.58997	  22.35875	  22.55746
 60	 -27.78881	 -2.69875	  22.31865	  22.51737
 61	 -27.80723	 -2.86629	  22.31846	  22.51717
 58	 -27.73344	 -2.8433	  22.32413	  22.52284
 60	 -27.78881	 -2.69875	  22.31865	  22.51737
 61	 -27.80723	 -2.86629	  22.31846	  22.51717
 60	 -27.78881	 -2.69875	  22.31865	  22.51737
 62	 -28.48117	 -3.08147	  22.26672	  22.46544
 63	 -27.30553	 -2.30629	  22.44104	  22.63975
 64	 -27.30627	 -2.31889	  22.443	  22.64171
 65	 -27.83458	 -2.61183	  22.40267	  22.60138
 66	 -27.93048	 -2.51383	  22.37036	  22.56907
 63	 -27.30553	 -2.30629	  22.44104	  22.63975
 65	 -27.83458	 -2.61183	  22.40267	  22.60138
 66	 -27.93048	 -2.51383	  22.37036	  22.56907
 65	 -27.83458	 -2.61183	  22.40267	  22.60138
 67	 -27.97122	 -2.66539	  22.38857	  22.58728
 66	 -27.93048	 -2.51383	  22.37036	  22.56907
 67	 -27.97122	 -2.66539	  22.38857	  22.58728
 68	 -28.68521	 -2.94916	  22.31553	  22.51425
 69	 -27.96268	 -2.52452	  22.36672	  22.56543
 70	 -27.93048	 -2.51383	  22.37036	  22.56907
 71	 -28.68521	 -2.94916	  22.31553	  22.51425
 72	 -28.04108	 -2.56284	  22.35988	  22.55859
 69	 -27.96268	 -2.52452	  22.36672	  22.56543
 71	 -28.68521	 -2.94916	  22.31553	  22.51425
 72	 -28.04108	 -2.56284	  22.35988	  22.55859
 71	 -28.68521	 -2.94916	  22.31553	  22.51425
 73	 -28.85795	 -3.01781	  22.29786	  22.49658
 74	 -27.93048	 -2.51383	  22.37036	  22.56907
 75	 -27.96268	 -2.52452	  22.36672	  22.56543
 76	 -27.84092	 -2.69898	  22.31774	  22.51646
 77	 -27.93048	 -2.51383	  22.37036	  22.56907
 78	 -27.84092	 -2.69898	  22.31774	  22.51646
 79	 -27.82182	 -2.6989	  22.31808	  22.51679
 80	 -27.93048	 -2.51383	  22.37036	  22.56907
 81	 -27.82182	 -2.6989	  22.31808	  22.51679
 82	 -27.78881	 -2.69875	  22.31865	  22.51737
 83	 -27.93048	 -2.51383	  22.37036	  22.56907
 84	 -27.78881	 -2.69875	  22.31865	  22.51737
 85	 -27.27203	 -2.58997	  22.35875	  22.55746
 86	 -27.30553	 -2.30629	  22.44104	  22.63975
 87	 -27.93048	 -2.51383	  22.37036	  22.56907
 88	 -27.27203	 -2.58997	  22.35875	  22.55746
 89	 -27.25895	 -2.29019	  22.44649	  22.6452
 90	 -27.30553	 -2.30629	  22.44104	  22.63975
 91	 -27.27203	 -2.58997	  22.35875	  22.55746
 92	 -27.25396	 -2.28846	  22.44707	  22.64578
 93	 -27.25895	 -2.29019	  22.44649	  22.6452
 88	 -27.27203	 -2.58997	  22.35875	  22.55746
 94	 -27.25396	 -2.28846	  22.44707	  22.64578
 95	 -27.27203	 -2.58997	  22.35875	  22.55746
 96	 -27.13155	 -2.26148	  22.45693	  22.65563
