 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 75	 -23508.11133	  34238.74219	 -66223.42969	  66229.42969
 77	 -34501.50391	  35391.50391	 -64559.58984	  64565.58984
 1	 -24326.01563	  38552.21484	 -64392.48438	  64398.48438
 75	 -23508.11133	  34238.74219	 -66223.42969	  66229.42969
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 77	 -34501.50391	  35391.50391	 -64559.58984	  64565.58984
 73	 -22690.20508	  34708.02734	 -68020.49219	  68026.49219
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 75	 -23508.11133	  34238.74219	 -66223.42969	  66229.42969
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 85	 -44676.99219	  34513.23828	 -64710.52734	  64716.52734
 77	 -34501.50391	  35391.50391	 -64559.58984	  64565.58984
 73	 -22690.20508	  34708.02734	 -68020.49219	  68026.49219
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 71	 -21872.30078	  35919.35547	 -69812.30469	  69818.30469
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 73	 -22690.20508	  34708.02734	 -68020.49219	  68026.49219
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 85	 -44676.99219	  34513.23828	 -64710.52734	  64716.52734
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 76	 -33683.60156	  33989.76953	 -66369.90625	  66375.90625
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 93	 -54852.47656	  33156.66406	 -64864.85547	  64870.85547
 85	 -44676.99219	  34513.23828	 -64710.52734	  64716.52734
 71	 -21872.30078	  35919.35547	 -69812.30469	  69818.30469
 72	 -32047.78906	  36499.82813	 -69952.90625	  69958.90625
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 69	 -21054.39648	  38796.66406	 -71592.30469	  71598.30469
 72	 -32047.78906	  36499.82813	 -69952.90625	  69958.90625
 71	 -21872.30078	  35919.35547	 -69812.30469	  69818.30469
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 83	 -43041.18359	  35110.44141	 -68307.07031	  68313.07031
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 72	 -32047.78906	  36499.82813	 -69952.90625	  69958.90625
 83	 -43041.18359	  35110.44141	 -68307.07031	  68313.07031
 74	 -32865.69531	  34877.31641	 -68164.00781	  68170.00781
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 92	 -54034.57031	  33741.10547	 -66661.09375	  66667.09375
 93	 -54852.47656	  33156.66406	 -64864.85547	  64870.85547
 83	 -43041.18359	  35110.44141	 -68307.07031	  68313.07031
 92	 -54034.57031	  33741.10547	 -66661.09375	  66667.09375
 84	 -43859.08984	  33564.51563	 -66517.64063	  66523.64063
 92	 -54034.57031	  33741.10547	 -66661.09375	  66667.09375
 101	 -65027.96875	  35210.57031	 -64995.01563	  65001.01563
 93	 -54852.47656	  33156.66406	 -64864.85547	  64870.85547
 69	 -21054.39648	  38796.66406	 -71592.30469	  71598.30469
 70	 -31229.88477	  38963.91406	 -71735.84375	  71741.84375
