 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  54105.33203	  58208.76172	 -81160.1875	  81166.1875
 1	  54105.78516	  58214.67969	 -81159.61719	  81165.61719
 2	  54113.05859	  58211.69531	 -81159.54688	  81165.54688
 3	  54103.44922	  58189.98438	 -81159.82813	  81165.82813
 4	  54104.35156	  58196.73047	 -81160.28906	  81166.28906
 5	  54111.625	  58194.04297	 -81160.15625	  81166.15625
 6	  54109.97656	  58223.60156	 -81168.78125	  81174.78125
 7	  54109.05469	  58216.68359	 -81168.32813	  81174.32813
 8	  54116.33594	  58213.82813	 -81168.23438	  81174.23438
 9	  54132.18359	  58265.89453	 -81218.89063	  81224.89063
 10	  54132.63672	  58271.8125	 -81218.32031	  81224.32031
 11	  54139.91016	  58268.82813	 -81218.25	  81224.25
 12	  54130.30078	  58247.11719	 -81218.53125	  81224.53125
 13	  54131.20313	  58253.86328	 -81218.99219	  81224.99219
 14	  54138.48047	  58251.17578	 -81218.85938	  81224.85938
 15	  54136.82813	  58280.73438	 -81227.48438	  81233.48438
 16	  54135.90625	  58273.81641	 -81227.03125	  81233.03125
 17	  54143.1875	  58270.96094	 -81226.9375	  81232.9375
 18	  53456.58203	  58175.84766	 -81126.36719	  81132.36719
 19	  53453.62109	  58182.19531	 -81126.24219	  81132.24219
 20	  53453.07031	  58178.0625	 -81124.99219	  81130.99219
 21	  53453.80859	  58157.875	 -81126.83594	  81132.83594
 22	  53456.66406	  58163.97266	 -81126.63281	  81132.63281
 23	  53455.83594	  58160.19141	 -81125.35938	  81131.35938
 24	  53505.78125	  58181.48438	 -81125.50781	  81131.50781
 25	  53502.92969	  58175.21484	 -81125.71094	  81131.71094
 26	  53502.26953	  58171.21875	 -81124.44531	  81130.44531
 27	  53790.64063	  58171.25391	 -81121.64844	  81127.64844
 28	  53787.67969	  58177.60938	 -81121.52344	  81127.52344
 29	  53787.12891	  58173.47656	 -81120.27344	  81126.27344
 30	  53787.86719	  58153.28906	 -81122.11719	  81128.11719
 31	  53790.72266	  58159.37891	 -81121.91406	  81127.91406
 32	  53789.89453	  58155.59766	 -81120.64063	  81126.64063
 33	  53839.83984	  58176.89063	 -81120.78906	  81126.78906
 34	  53836.98438	  58170.62109	 -81120.99219	  81126.99219
 35	  53836.32813	  58166.625	 -81119.72656	  81125.72656
 36	  53275.47656	  58284.67578	 -81238.19531	  81244.19531
 37	  53275.02344	  58291.61719	 -81238.66406	  81244.66406
 38	  53267.75	  58288.8125	 -81238.78125	  81244.78125
 39	  53277.35938	  58266.85156	 -81238.8125	  81244.8125
 40	  53276.45703	  58272.62109	 -81238.26563	  81244.26563
 41	  53269.17578	  58270.22266	 -81238.42969	  81244.42969
 42	  53270.83203	  58282.69531	 -81229.50	  81235.50
 43	  53271.75391	  58276.75391	 -81230.05469	  81236.05469
 44	  53264.46875	  58274.11719	 -81230.17969	  81236.17969
 45	  53248.625	  58227.54297	 -81179.49219	  81185.49219
 46	  53248.17188	  58234.48438	 -81179.96094	  81185.96094
 47	  53240.89844	  58231.67969	 -81180.07813	  81186.07813
 48	  53250.50781	  58209.71875	 -81180.10938	  81186.10938
 49	  53249.60547	  58215.48828	 -81179.5625	  81185.5625
 50	  53242.32422	  58213.08984	 -81179.72656	  81185.72656
 51	  53243.98047	  58225.5625	 -81170.79688	  81176.79688
 52	  53244.90234	  58219.62109	 -81171.35156	  81177.35156
 53	  53237.61719	  58216.98438	 -81171.47656	  81177.47656
 54	  53901.25781	  58317.91016	 -81272.33594	  81278.33594
 55	  53904.22266	  58324.40625	 -81272.35938	  81278.35938
 56	  53904.77344	  58322.76563	 -81273.67188	  81279.67188
