 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  19227.82813	 -5773.96484	 -26889.73828	  26909.73828
 1	  19227.82813	 -5054.46826	 -26917.51367	  26937.51367
 2	  19236.65625	 -5776.28369	 -26903.11719	  26923.11719
 2	  19236.65625	 -5776.28369	 -26903.11719	  26923.11719
 1	  19227.82813	 -5054.46826	 -26917.51367	  26937.51367
 3	  19236.65625	 -5056.78711	 -26930.89258	  26950.89258
 4	  19220.46484	 -5777.57861	 -26910.58789	  26930.58789
 5	  19211.63672	 -5055.76318	 -26924.98438	  26944.98438
 6	  19211.63672	 -5775.25977	 -26897.20898	  26917.20898
 5	  19211.63672	 -5055.76318	 -26924.98438	  26944.98438
 4	  19220.46484	 -5777.57861	 -26910.58789	  26930.58789
 7	  19220.46484	 -5058.08203	 -26938.36328	  26958.36328
 8	  19211.63672	 -5775.25977	 -26897.20898	  26917.20898
 9	  19227.82813	 -5054.46826	 -26917.51367	  26937.51367
 10	  19227.82813	 -5773.96484	 -26889.73828	  26909.73828
 9	  19227.82813	 -5054.46826	 -26917.51367	  26937.51367
 8	  19211.63672	 -5775.25977	 -26897.20898	  26917.20898
 11	  19211.63672	 -5055.76318	 -26924.98438	  26944.98438
 12	  19236.65625	 -5776.28369	 -26903.11719	  26923.11719
 13	  19236.65625	 -5056.78711	 -26930.89258	  26950.89258
 14	  19220.46484	 -5777.57861	 -26910.58789	  26930.58789
 14	  19220.46484	 -5777.57861	 -26910.58789	  26930.58789
 13	  19236.65625	 -5056.78711	 -26930.89258	  26950.89258
 15	  19220.46484	 -5058.08203	 -26938.36328	  26958.36328
 16	  18950.13086	 -4981.66895	 -26497.42383	  26517.42383
 17	  18936.98047	 -5702.99121	 -26480.18164	  26500.18164
 18	  18952.39063	 -5701.75879	 -26473.07031	  26493.07031
 17	  18936.98047	 -5702.99121	 -26480.18164	  26500.18164
 16	  18950.13086	 -4981.66895	 -26497.42383	  26517.42383
 19	  18934.72266	 -4982.90137	 -26504.53516	  26524.53516
 20	  18941.46289	 -4979.39258	 -26484.28711	  26504.28711
 21	  18941.46289	 -5698.88916	 -26456.51172	  26476.51172
 22	  18926.05273	 -5700.12158	 -26463.62305	  26483.62305
 22	  18926.05273	 -5700.12158	 -26463.62305	  26483.62305
 23	  18926.05273	 -4980.625	 -26491.39844	  26511.39844
 20	  18941.46289	 -4979.39258	 -26484.28711	  26504.28711
 24	  18926.05273	 -5700.12158	 -26463.62305	  26483.62305
 25	  18934.72266	 -4982.90137	 -26504.53516	  26524.53516
 26	  18926.05273	 -4980.625	 -26491.39844	  26511.39844
 25	  18934.72266	 -4982.90137	 -26504.53516	  26524.53516
 24	  18926.05273	 -5700.12158	 -26463.62305	  26483.62305
 27	  18936.98047	 -5702.99121	 -26480.18164	  26500.18164
 28	  18941.46289	 -5698.88916	 -26456.51172	  26476.51172
 29	  18950.13086	 -4981.66895	 -26497.42383	  26517.42383
 30	  18952.39063	 -5701.75879	 -26473.07031	  26493.07031
 29	  18950.13086	 -4981.66895	 -26497.42383	  26517.42383
 28	  18941.46289	 -5698.88916	 -26456.51172	  26476.51172
 31	  18941.46289	 -4979.39258	 -26484.28711	  26504.28711
 32	  19116.83594	 -5749.2749	 -26752.79688	  26772.79688
 33	  19210.50781	 -5773.87646	 -26894.75977	  26914.75977
 34	  19113.03516	 -5451.96289	 -26758.47852	  26778.47852
 33	  19210.50781	 -5773.87646	 -26894.75977	  26914.75977
 35	  19208.9082	 -5414.7876	 -26906.18359	  26926.18359
 34	  19113.03516	 -5451.96289	 -26758.47852	  26778.47852
 34	  19113.03516	 -5451.96289	 -26758.47852	  26778.47852
 35	  19208.9082	 -5414.7876	 -26906.18359	  26926.18359
 36	  19116.83594	 -5031.93701	 -26780.49219	  26800.49219
 35	  19208.9082	 -5414.7876	 -26906.18359	  26926.18359
 37	  19210.50781	 -5056.53857	 -26922.45508	  26942.45508
 36	  19116.83594	 -5031.93701	 -26780.49219	  26800.49219
 38	  19125.25977	 -5746.20801	 -26735.09961	  26755.09961
 39	  19061.67383	 -5729.5083	 -26638.73242	  26658.73242
 40	  19064.66406	 -5371.62402	 -26657.10938	  26677.10938
 38	  19125.25977	 -5746.20801	 -26735.09961	  26755.09961
 40	  19064.66406	 -5371.62402	 -26657.10938	  26677.10938
 41	  19125.25977	 -5387.53906	 -26748.94727	  26768.94727
 41	  19125.25977	 -5387.53906	 -26748.94727	  26768.94727
 40	  19064.66406	 -5371.62402	 -26657.10938	  26677.10938
 42	  19062.62305	 -5012.41943	 -26667.86328	  26687.86328
 41	  19125.25977	 -5387.53906	 -26748.94727	  26768.94727
 42	  19062.62305	 -5012.41943	 -26667.86328	  26687.86328
 43	  19131.38672	 -5030.479	 -26772.07813	  26792.07813
 44	  19175.37891	 -5583.42334	 -26805.12695	  26825.12695
 45	  19187.43945	 -5611.84717	 -26822.42773	  26842.42773
 46	  19168.17969	 -5630.69189	 -26792.31445	  26812.31445
 47	  19203.06055	 -5667.21387	 -26844.12305	  26864.12305
 46	  19168.17969	 -5630.69189	 -26792.31445	  26812.31445
 45	  19187.43945	 -5611.84717	 -26822.42773	  26842.42773
 46	  19168.17969	 -5630.69189	 -26792.31445	  26812.31445
 47	  19203.06055	 -5667.21387	 -26844.12305	  26864.12305
 48	  19226.20313	 -5768.01318	 -26875.54102	  26895.54102
 48	  19226.20313	 -5768.01318	 -26875.54102	  26895.54102
 47	  19203.06055	 -5667.21387	 -26844.12305	  26864.12305
 49	  19220.63477	 -5718.31055	 -26868.96289	  26888.96289
 50	  19231.66016	 -5739.25293	 -26884.97461	  26904.97461
 48	  19226.20313	 -5768.01318	 -26875.54102	  26895.54102
 49	  19220.63477	 -5718.31055	 -26868.96289	  26888.96289
 51	  19128.44531	 -5450.73047	 -26751.36719	  26771.36719
 52	  19225.91797	 -5772.64404	 -26887.64844	  26907.64844
 53	  19132.24609	 -5748.04248	 -26745.68555	  26765.68555
 52	  19225.91797	 -5772.64404	 -26887.64844	  26907.64844
 51	  19128.44531	 -5450.73047	 -26751.36719	  26771.36719
 54	  19224.31836	 -5413.55518	 -26899.07227	  26919.07227
 55	  19132.24609	 -5030.70459	 -26773.38086	  26793.38086
 54	  19224.31836	 -5413.55518	 -26899.07227	  26919.07227
 51	  19128.44531	 -5450.73047	 -26751.36719	  26771.36719
 54	  19224.31836	 -5413.55518	 -26899.07227	  26919.07227
 55	  19132.24609	 -5030.70459	 -26773.38086	  26793.38086
 56	  19225.91797	 -5055.30615	 -26915.34375	  26935.34375
 57	  19154.57422	 -5806.45117	 -26813.51953	  26833.51953
 58	  18923.36328	 -5700.25146	 -26464.86523	  26484.86523
 59	  18923.36328	 -5746.59863	 -26463.07617	  26483.07617
 58	  18923.36328	 -5700.25146	 -26464.86523	  26484.86523
 57	  19154.57422	 -5806.45117	 -26813.51953	  26833.51953
 60	  19154.57422	 -5760.24414	 -26815.30469	  26835.30469
 61	  19218.16602	 -5823.09229	 -26909.90039	  26929.90039
 60	  19154.57422	 -5760.24414	 -26815.30469	  26835.30469
