 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 0	  8353.10645	 -3606.88403	 -10095.3125	  10115.3125
 1	  8354.38086	 -3607.06738	 -10094.4668	  10114.4668
 2	  8352.70703	 -3605.81763	 -10096.51758	  10116.51758
 3	  8356.93652	 -3598.07642	 -10099.20117	  10119.20117
 4	  8359.59961	 -3598.78125	 -10097.10547	  10117.10547
 5	  8356.11426	 -3593.15503	 -10098.87598	  10118.87598
 5	  8356.11426	 -3593.15503	 -10098.87598	  10118.87598
 6	  8355.21582	 -3597.76074	 -10099.96289	  10119.96289
 7	  8356.93652	 -3598.07642	 -10099.20117	  10119.20117
 8	  8369.60938	 -3595.30957	 -10064.74121	  10084.74121
 9	  8369.38477	 -3592.79077	 -10065.79004	  10085.79004
 10	  8371.27246	 -3594.07471	 -10064.54004	  10084.54004
 11	  8369.60938	 -3595.30957	 -10064.74121	  10084.74121
 10	  8371.27246	 -3594.07471	 -10064.54004	  10084.54004
 12	  8371.36426	 -3594.29761	 -10064.69727	  10084.69727
 12	  8371.36426	 -3594.29761	 -10064.69727	  10084.69727
 13	  8369.91113	 -3594.34204	 -10065.50684	  10085.50684
 11	  8369.60938	 -3595.30957	 -10064.74121	  10084.74121
 14	  8371.47754	 -3592.42578	 -10065.36719	  10085.36719
 13	  8369.91113	 -3594.34204	 -10065.50684	  10085.50684
 12	  8371.36426	 -3594.29761	 -10064.69727	  10084.69727
 15	  8376.32129	 -3597.27515	 -10060.33887	  10080.33887
 16	  8375.82129	 -3595.49805	 -10061.52441	  10081.52441
 17	  8377.75586	 -3595.177	 -10060.30957	  10080.30957
 16	  8375.82129	 -3595.49805	 -10061.52441	  10081.52441
 18	  8376.32129	 -3597.27515	 -10060.33887	  10080.33887
 19	  8375.94336	 -3595.69067	 -10061.67773	  10081.67773
 20	  8377.21777	 -3596.57617	 -10060.78711	  10080.78711
 19	  8375.94336	 -3595.69067	 -10061.67773	  10081.67773
 18	  8376.32129	 -3597.27515	 -10060.33887	  10080.33887
 19	  8375.94336	 -3595.69067	 -10061.67773	  10081.67773
 20	  8377.21777	 -3596.57617	 -10060.78711	  10080.78711
 21	  8376.80176	 -3594.02856	 -10061.80176	  10081.80176
 22	  8378.60645	 -3526.29736	 -10044.66113	  10064.66113
 23	  8378.26074	 -3531.0354	 -10045.70703	  10065.70703
 24	  8374.28613	 -3531.1709	 -10044.78613	  10064.78613
 25	  8371.48633	 -3526.30493	 -10044.15137	  10064.15137
 22	  8378.60645	 -3526.29736	 -10044.66113	  10064.66113
 26	  8374.28613	 -3531.1709	 -10044.78613	  10064.78613
 27	  8370.99023	 -3533.13867	 -10045.15332	  10065.15332
 25	  8371.48633	 -3526.30493	 -10044.15137	  10064.15137
 26	  8374.28613	 -3531.1709	 -10044.78613	  10064.78613
 28	  8382.77441	 -3530.96118	 -10047.88574	  10067.88574
 29	  8378.60645	 -3526.29736	 -10044.66113	  10064.66113
 30	  8386.03906	 -3525.78589	 -10050.16602	  10070.16602
 31	  8378.26074	 -3531.0354	 -10045.70703	  10065.70703
 29	  8378.60645	 -3526.29736	 -10044.66113	  10064.66113
 32	  8382.77441	 -3530.96118	 -10047.88574	  10067.88574
 33	  8379.25098	 -3521.85962	 -10064.02246	  10084.02246
 34	  8377.43262	 -3526.53271	 -10064.50195	  10084.50195
 35	  8381.20996	 -3527.26025	 -10062.89355	  10082.89355
 36	  8381.20996	 -3527.26025	 -10062.89355	  10082.89355
 37	  8385.84082	 -3523.66431	 -10059.5498	  10079.5498
 33	  8379.25098	 -3521.85962	 -10064.02246	  10084.02246
 36	  8381.20996	 -3527.26025	 -10062.89355	  10082.89355
 38	  8384.75586	 -3528.32129	 -10059.30566	  10079.30566
 37	  8385.84082	 -3523.66431	 -10059.5498	  10079.5498
 39	  8368.46777	 -3535.12939	 -10046.66895	  10066.66895
 40	  8366.89648	 -3536.41309	 -10046.78906	  10066.78906
 41	  8368.19824	 -3533.10278	 -10046.1416	  10066.1416
 41	  8368.19824	 -3533.10278	 -10046.1416	  10066.1416
