 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	gl_Position.w
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 2	 -1134.55005	  34151.12109	 -74932.60156	74952.60156
 3	 -1134.55005	  33574.74609	 -74063.76563	74083.76563
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 3	 -1134.55005	  33574.74609	 -74063.76563	74083.76563
 1	 -634.07312	  33943.38672	 -73953.86719	73973.86719
 4	 -864.82483	  35346.39063	 -74576.27344	74596.27344
 5	 -864.82483	  34770.01563	 -73707.4375	73727.4375
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 4	 -864.82483	  35346.39063	 -74576.27344	74596.27344
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 6	 -1365.30176	  34977.75	 -74686.17188	74706.17188
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 1	 -634.07312	  33943.38672	 -73953.86719	73973.86719
 5	 -864.82483	  34770.01563	 -73707.4375	73727.4375
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 5	 -864.82483	  34770.01563	 -73707.4375	73727.4375
 4	 -864.82483	  35346.39063	 -74576.27344	74596.27344
 2	 -1134.55005	  34151.12109	 -74932.60156	74952.60156
 6	 -1365.30176	  34977.75	 -74686.17188	74706.17188
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 2	 -1134.55005	  34151.12109	 -74932.60156	74952.60156
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 3	 -1134.55005	  33574.74609	 -74063.76563	74083.76563
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 4	 -864.82483	  35346.39063	 -74576.27344	74596.27344
 6	 -1365.30176	  34977.75	 -74686.17188	74706.17188
 0	 -634.07312	  34519.75781	 -74822.70313	74842.70313
 6	 -1365.30176	  34977.75	 -74686.17188	74706.17188
 2	 -1134.55005	  34151.12109	 -74932.60156	74952.60156
 1	 -634.07312	  33943.38672	 -73953.86719	73973.86719
 3	 -1134.55005	  33574.74609	 -74063.76563	74083.76563
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 1	 -634.07312	  33943.38672	 -73953.86719	73973.86719
 7	 -1365.30176	  34401.37891	 -73817.33594	73837.33594
 5	 -864.82483	  34770.01563	 -73707.4375	73727.4375
