 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 1647	  3021.58374	 -4201.46582	 -254.6861	 -208.15649
 1648	  5538.77295	 -4072.97485	 -252.24152	 -205.71301
 1649	  3023.76221	 -4396.52881	 -235.6579	 -189.13708
 1649	  3023.76221	 -4396.52881	 -235.6579	 -189.13708
 1650	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
 1650	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
 1650	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
 1651	  6440.0752	 -4222.14209	 -232.34015	 -185.82092
 1652	  5821.88818	 -4058.52319	 -251.96661	 -205.43823
 1653	  5822.26953	 -4253.67822	 -232.94012	 -186.42053
 1648	  5538.77295	 -4072.97485	 -252.24152	 -205.71301
 1654	  5540.95166	 -4268.03809	 -233.21332	 -186.6936
 1649	  3023.76221	 -4396.52881	 -235.6579	 -189.13708
 1649	  3023.76221	 -4396.52881	 -235.6579	 -189.13708
 1655	  3023.10791	 -4269.39795	 -361.98273	 -315.40332
 1655	  3023.10791	 -4269.39795	 -361.98273	 -315.40332
 1656	  3025.23486	 -4459.82422	 -343.40692	 -296.83606
 1657	  5540.29736	 -4140.90674	 -359.53815	 -312.95984
 1658	  5542.42432	 -4331.33301	 -340.96234	 -294.39258
 1659	  5823.4126	 -4126.45508	 -359.26324	 -312.68506
 1660	  5825.53906	 -4316.88135	 -340.68744	 -294.1178
 1661	  6468.39355	 -4093.53198	 -358.6369	 -312.05896
 1662	  6470.52002	 -4283.95801	 -340.0611	 -293.4917
 1662	  6470.52002	 -4283.95801	 -340.0611	 -293.4917
 1663	  6470.52002	 -4283.95801	 -340.0611	 -293.4917
 1663	  6470.52002	 -4283.95801	 -340.0611	 -293.4917
 1663	  6470.52002	 -4283.95801	 -340.0611	 -293.4917
 1664	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
 1665	  5825.53906	 -4316.88135	 -340.68744	 -294.1178
 1665	  5825.53906	 -4316.88135	 -340.68744	 -294.1178
 1666	  3025.23486	 -4459.82422	 -343.40692	 -296.83606
 1666	  3025.23486	 -4459.82422	 -343.40692	 -296.83606
 1666	  3025.23486	 -4459.82422	 -343.40692	 -296.83606
 1667	  5542.42432	 -4331.33301	 -340.96234	 -294.39258
 1668	  5538.77295	 -4072.97485	 -252.24152	 -205.71301
 1665	  5825.53906	 -4316.88135	 -340.68744	 -294.1178
 1669	  5821.88818	 -4058.52319	 -251.96661	 -205.43823
 1664	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
 1664	  6439.63281	 -4026.99023	 -251.36664	 -204.83862
