 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	gl_Position.w
 0	  6.57022	 -1022.59149	  971.02856	1016.98944
 1	  6.53389	 -1020.02057	  971.91144	1017.87189
 2	  6.51634	 -1017.7674	  970.55798	1016.5191
 3	  6.48001	 -1015.19641	  971.44086	1017.40155
 3	  6.48001	 -1015.19641	  971.44086	1017.40155
 4	  6.51634	 -1017.7674	  970.55798	1016.5191
 4	  6.51634	 -1017.7674	  970.55798	1016.5191
 5	  6.48001	 -1015.19641	  971.44086	1017.40155
 6	  3.88543	 -1017.90167	  970.55548	1016.51654
 7	  3.8491	 -1015.33075	  971.43835	1017.39899
 7	  3.8491	 -1015.33075	  971.43835	1017.39899
 8	  3.88543	 -1017.90167	  970.55548	1016.51654
 8	  3.88543	 -1017.90167	  970.55548	1016.51654
 9	  3.8491	 -1015.33075	  971.43835	1017.39899
 10	  3.93931	 -1022.72583	  971.02606	1016.98688
 11	  3.90298	 -1020.15485	  971.90894	1017.86932
 11	  3.90298	 -1020.15485	  971.90894	1017.86932
 12	  3.93931	 -1022.72583	  971.02606	1016.98688
 12	  3.93931	 -1022.72583	  971.02606	1016.98688
 13	  3.90298	 -1020.15485	  971.90894	1017.86932
 14	  6.57022	 -1022.59149	  971.02856	1016.98944
 15	  6.53389	 -1020.02057	  971.91144	1017.87189
 15	  6.53389	 -1020.02057	  971.91144	1017.87189
 16	  6.53389	 -1020.02057	  971.91144	1017.87189
 16	  6.53389	 -1020.02057	  971.91144	1017.87189
 17	  3.90298	 -1020.15485	  971.90894	1017.86932
 18	  6.48001	 -1015.19641	  971.44086	1017.40155
 19	  3.8491	 -1015.33075	  971.43835	1017.39899
 19	  3.8491	 -1015.33075	  971.43835	1017.39899
 20	  3.93931	 -1022.72583	  971.02606	1016.98688
 20	  3.93931	 -1022.72583	  971.02606	1016.98688
 21	  6.57022	 -1022.59149	  971.02856	1016.98944
 22	  3.88543	 -1017.90167	  970.55548	1016.51654
 23	  6.51634	 -1017.7674	  970.55798	1016.5191
