 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 13103	  872.2038	 -1207.96472	  844.38007	  890.39972
 13101	  875.79236	 -1197.48157	  848.20038	  894.21826
 13104	  870.81189	 -1205.28992	  845.6333	  891.65234
 13105	  872.66327	 -1199.98547	  847.54834	  893.56647
 13106	  870.82214	 -1202.76135	  846.65149	  892.67004
 13106	  870.82214	 -1202.76135	  846.65149	  892.67004
 13099	  883.02509	 -1192.64539	  849.32184	  895.33917
 13099	  883.02509	 -1192.64539	  849.32184	  895.33917
 13099	  883.02509	 -1192.64539	  849.32184	  895.33917
 13100	  879.36926	 -1194.58057	  848.96521	  894.98273
 13097	  879.45026	 -1210.68054	  842.41046	  888.43097
 13101	  875.79236	 -1197.48157	  848.20038	  894.21826
 13102	  875.05951	 -1210.12329	  843.15997	  889.18018
 13103	  872.2038	 -1207.96472	  844.38007	  890.39972
 13103	  872.2038	 -1207.96472	  844.38007	  890.39972
 13095	  889.52429	 -1207.99414	  842.29938	  888.32001
 13095	  889.52429	 -1207.99414	  842.29938	  888.32001
 13095	  889.52429	 -1207.99414	  842.29938	  888.32001
 13096	  884.13721	 -1210.79688	  841.81934	  887.84009
 13094	  890.70074	 -1192.88232	  848.36896	  894.38672
 13097	  879.45026	 -1210.68054	  842.41046	  888.43097
 13098	  887.38019	 -1191.99084	  849.08319	  895.10065
 13099	  883.02509	 -1192.64539	  849.32184	  895.33917
 13099	  883.02509	 -1192.64539	  849.32184	  895.33917
 13092	  894.04626	 -1194.37988	  847.36279	  893.38104
 13092	  894.04626	 -1194.37988	  847.36279	  893.38104
 13092	  894.04626	 -1194.37988	  847.36279	  893.38104
 13094	  890.70074	 -1192.88232	  848.36896	  894.38672
 13093	  893.38019	 -1204.5896	  843.29449	  889.31464
 13095	  889.52429	 -1207.99414	  842.29938	  888.32001
 13095	  889.52429	 -1207.99414	  842.29938	  888.32001
 13089	  897.24756	 -1199.22046	  845.00897	  891.02832
 13089	  897.24756	 -1199.22046	  845.00897	  891.02832
 13090	  896.32153	 -1196.50183	  846.2392	  892.25793
 13091	  896.08447	 -1201.39172	  844.24408	  890.26379
 13092	  894.04626	 -1194.37988	  847.36279	  893.38104
 13093	  893.38019	 -1204.5896	  843.29449	  889.31464
 13093	  893.38019	 -1204.5896	  843.29449	  889.31464
 13159	  909.34381	 -1273.2981	  851.56635	  897.58264
 13159	  909.34381	 -1273.2981	  851.56635	  897.58264
 13159	  909.34381	 -1273.2981	  851.56635	  897.58264
 13177	  906.87518	 -1265.6084	  853.37964	  899.39508
 13160	  903.51465	 -1251.68823	  849.71497	  895.73212
 13156	  903.0592	 -1247.75854	  850.98853	  897.00507
 13107	  896.8681	 -1205.89404	  847.12012	  893.13849
 13155	  900.16113	 -1244.75171	  851.61646	  897.63275
 13143	  894.75708	 -1203.63818	  848.00098	  894.01898
 13154	  896.21875	 -1240.02698	  852.50928	  898.52515
 13139	  891.59094	 -1201.27258	  848.8183	  894.83588
 13178	  892.82385	 -1235.70203	  852.67902	  898.69476
 13140	  888.09277	 -1198.84216	  849.55212	  895.56934
 13140	  888.09277	 -1198.84216	  849.55212	  895.56934
 13158	  907.44373	 -1278.10791	  849.97809	  895.99512
 13158	  907.44373	 -1278.10791	  849.97809	  895.99512
 13158	  907.44373	 -1278.10791	  849.97809	  895.99512
 13159	  909.34381	 -1273.2981	  851.56635	  897.58264
 13160	  903.51465	 -1251.68823	  849.71497	  895.73212
 13160	  903.51465	 -1251.68823	  849.71497	  895.73212
 13178	  892.82385	 -1235.70203	  852.67902	  898.69476
 13178	  892.82385	 -1235.70203	  852.67902	  898.69476
 13153	  893.80713	 -1247.62476	  854.19202	  900.20709
 13154	  896.21875	 -1240.02698	  852.50928	  898.52515
 13152	  896.67316	 -1256.74365	  854.53748	  900.55237
 13155	  900.16113	 -1244.75171	  851.61646	  897.63275
 13157	  902.83331	 -1262.69385	  853.96747	  899.98267
 13156	  903.0592	 -1247.75854	  850.98853	  897.00507
 13177	  906.87518	 -1265.6084	  853.37964	  899.39508
 13177	  906.87518	 -1265.6084	  853.37964	  899.39508
 13161	  902.91663	 -1280.51465	  849.22583	  895.24323
 13161	  902.91663	 -1280.51465	  849.22583	  895.24323
 13161	  902.91663	 -1280.51465	  849.22583	  895.24323
 13158	  907.44373	 -1278.10791	  849.97809	  895.99512
 13162	  901.52667	 -1254.43799	  848.83728	  894.85486
 13160	  903.51465	 -1251.68823	  849.71497	  895.73212
 13109	  897.81818	 -1207.34192	  845.9541	  891.97296
 13107	  896.8681	 -1205.89404	  847.12012	  893.13849
 13108	  896.32153	 -1196.50183	  846.2392	  892.25793
 13143	  894.75708	 -1203.63818	  848.00098	  894.01898
 13144	  894.04626	 -1194.37988	  847.36279	  893.38104
 13139	  891.59094	 -1201.27258	  848.8183	  894.83588
 13141	  890.70074	 -1192.88232	  848.36896	  894.38672
 13140	  888.09277	 -1198.84216	  849.55212	  895.56934
 13142	  887.38019	 -1191.99084	  849.08319	  895.10065
 13142	  887.38019	 -1191.99084	  849.08319	  895.10065
 13108	  896.32153	 -1196.50183	  846.2392	  892.25793
 13108	  896.32153	 -1196.50183	  846.2392	  892.25793
 13108	  896.32153	 -1196.50183	  846.2392	  892.25793
 13110	  897.24756	 -1199.22046	  845.00897	  891.02832
 13109	  897.81818	 -1207.34192	  845.9541	  891.97296
 13111	  896.54541	 -1207.89551	  845.01831	  891.03766
 13162	  901.52667	 -1254.43799	  848.83728	  894.85486
 13164	  898.94025	 -1255.86047	  848.36359	  894.38141
