 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 463	  3202.35962	 -217.13202	  1193.49548	  1239.35303
 464	  3760.26807	 -188.49103	  1194.09302	  1239.95032
 465	  3202.11841	 -182.98157	  1205.21875	  1251.07092
 465	  3202.11841	 -182.98157	  1205.21875	  1251.07092
 466	  3105.29565	 -222.08789	  1193.40076	  1239.25842
 466	  3105.29565	 -222.08789	  1193.40076	  1239.25842
 466	  3105.29565	 -222.08789	  1193.40076	  1239.25842
 467	  3182.51709	 -218.146	  1193.47583	  1239.33337
 468	  3105.43066	 -187.91705	  1205.12488	  1250.97705
 469	  3182.41333	 -183.98743	  1205.19971	  1251.05176
 470	  3192.88208	  19.30096	  1274.78845	  1320.6084
 465	  3202.11841	 -182.98157	  1205.21875	  1251.07092
 471	  3719.84692	  42.57526	  1274.05627	  1319.87646
 464	  3760.26807	 -188.49103	  1194.09302	  1239.95032
 472	  3756.9978	  43.31171	  1273.69434	  1319.51477
 472	  3756.9978	  43.31171	  1273.69434	  1319.51477
 471	  3719.84692	  42.57526	  1274.05627	  1319.87646
 471	  3719.84692	  42.57526	  1274.05627	  1319.87646
 470	  3192.88208	  19.30096	  1274.78845	  1320.6084
 473	  3719.68164	  54.27521	  1278.0741	  1323.89246
 474	  3184.26538	  629.05109	  1484.17773	  1529.90039
 475	  3751.29761	  447.05426	  1412.34021	  1458.09619
 476	  3745.14111	  883.04718	  1562.06079	  1607.74756
 476	  3745.14111	  883.04718	  1562.06079	  1607.74756
 477	  3756.82788	  55.3476	  1277.82751	  1323.646
 477	  3756.82788	  55.3476	  1277.82751	  1323.646
 477	  3756.82788	  55.3476	  1277.82751	  1323.646
 475	  3751.29761	  447.05426	  1412.34021	  1458.09619
 473	  3719.68164	  54.27521	  1278.0741	  1323.89246
 473	  3719.68164	  54.27521	  1278.0741	  1323.89246
 476	  3745.14111	  883.04718	  1562.06079	  1607.74756
 476	  3745.14111	  883.04718	  1562.06079	  1607.74756
 476	  3745.14111	  883.04718	  1562.06079	  1607.74756
 478	  2627.90332	  825.72711	  1560.87634	  1606.56348
 474	  3184.26538	  629.05109	  1484.17773	  1529.90039
 479	  2511.56787	  770.87091	  1543.97632	  1589.67126
 480	  2549.04492	  596.61615	  1483.55762	  1529.28052
 480	  2549.04492	  596.61615	  1483.55762	  1529.28052
 479	  2511.56787	  770.87091	  1543.97632	  1589.67126
 479	  2511.56787	  770.87091	  1543.97632	  1589.67126
 479	  2511.56787	  770.87091	  1543.97632	  1589.67126
 481	  2363.63525	  684.88849	  1516.9176	  1562.62512
 480	  2549.04492	  596.61615	  1483.55762	  1529.28052
 482	  2223.67163	  586.56403	  1485.49158	  1531.21375
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
 484	  2092.8042	  476.68878	  1449.95129	  1495.68994
 485	  1972.08667	  356.14777	  1410.58289	  1456.33972
 485	  1972.08667	  356.14777	  1410.58289	  1456.33972
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
 485	  1972.08667	  356.14777	  1410.58289	  1456.33972
 486	  2230.93555	 -266.72021	  1192.55164	  1238.40967
 487	  1862.49109	  225.91107	  1367.70313	  1413.47998
 487	  1862.49109	  225.91107	  1367.70313	  1413.47998
 488	  2829.09985	 -202.02246	  1204.85657	  1250.70886
 488	  2829.09985	 -202.02246	  1204.85657	  1250.70886
 489	  2847.64917	 -201.07562	  1204.87451	  1250.72681
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
 470	  3192.88208	  19.30096	  1274.78845	  1320.6084
 470	  3192.88208	  19.30096	  1274.78845	  1320.6084
 468	  3105.43066	 -187.91705	  1205.12488	  1250.97705
 468	  3105.43066	 -187.91705	  1205.12488	  1250.97705
 470	  3192.88208	  19.30096	  1274.78845	  1320.6084
 490	  3086.19165	 -188.89911	  1205.1062	  1250.95837
 489	  2847.64917	 -201.07562	  1204.87451	  1250.72681
 491	  3086.34985	 -223.05524	  1193.38232	  1239.23999
 492	  2848.01831	 -235.22089	  1193.15088	  1239.00867
 492	  2848.01831	 -235.22089	  1193.15088	  1239.00867
 493	  2829.71362	 -236.15546	  1193.13306	  1238.99084
 493	  2829.71362	 -236.15546	  1193.13306	  1238.99084
 493	  2829.71362	 -236.15546	  1193.13306	  1238.99084
 494	  2591.02637	 -248.33899	  1192.90137	  1238.75928
 488	  2829.09985	 -202.02246	  1204.85657	  1250.70886
 495	  2589.64966	 -214.2453	  1204.62402	  1250.47644
 483	  2557.66162	 -13.12408	  1274.17163	  1319.99182
