 IDX	 gl_Position.x	 gl_Position.y	 gl_Position.z	 gl_Position.w
 5193	 -1041.76807	  2686.08252	  1993.79248	  2039.27869
 5194	 -1041.88501	  2709.4729	  1991.20874	  2036.69604
 5195	 -1031.32434	  2684.71655	  1993.05359	  2038.54016
 5195	 -1031.32434	  2684.71655	  1993.05359	  2038.54016
 5196	 -1025.4281	  2674.80908	  1989.07739	  2034.56567
 5196	 -1025.4281	  2674.80908	  1989.07739	  2034.56567
 5196	 -1025.4281	  2674.80908	  1989.07739	  2034.56567
 5195	 -1031.32434	  2684.71655	  1993.05359	  2038.54016
 5197	 -1029.74963	  2706.25464	  1989.21558	  2034.70386
 5194	 -1041.88501	  2709.4729	  1991.20874	  2036.69604
 5198	 -1027.3623	  2744.31543	  1988.95337	  2034.44177
 5199	 -1041.68152	  2748.52588	  1991.17236	  2036.65991
 5200	 -1026.5238	  2780.07397	  1986.52783	  2032.01733
 5201	 -1041.30139	  2788.92651	  1988.05847	  2033.54736
 5202	 -1041.06201	  2799.03589	  1984.66211	  2030.15259
 5202	 -1041.06201	  2799.03589	  1984.66211	  2030.15259
 5203	 -1054.69482	  2657.54688	  1986.646	  2032.1355
 5203	 -1054.69482	  2657.54688	  1986.646	  2032.1355
 5203	 -1054.69482	  2657.54688	  1986.646	  2032.1355
 5204	 -1041.01953	  2641.43774	  1984.54565	  2030.03613
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5206	 -1028.15515	  2660.04126	  1986.55334	  2032.04297
 5207	 -1031.29089	  2673.52368	  1982.49744	  2027.98877
 5196	 -1025.4281	  2674.80908	  1989.07739	  2034.56567
 5208	 -1025.77283	  2692.96558	  1984.65112	  2030.1416
 5197	 -1029.74963	  2706.25464	  1989.21558	  2034.70386
 5209	 -1020.71686	  2737.62231	  1984.45801	  2029.94849
 5198	 -1027.3623	  2744.31543	  1988.95337	  2034.44177
 5210	 -1020.94232	  2765.66357	  1982.06372	  2027.55542
 5200	 -1026.5238	  2780.07397	  1986.52783	  2032.01733
 5211	 -1027.98389	  2794.10083	  1982.96875	  2028.45996
 5202	 -1041.06201	  2799.03589	  1984.66211	  2030.15259
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5213	 -1028.7616	  2790.64551	  1979.24976	  2024.74268
 5211	 -1027.98389	  2794.10083	  1982.96875	  2028.45996
 5210	 -1020.94232	  2765.66357	  1982.06372	  2027.55542
 5210	 -1020.94232	  2765.66357	  1982.06372	  2027.55542
 5208	 -1025.77283	  2692.96558	  1984.65112	  2030.1416
 5208	 -1025.77283	  2692.96558	  1984.65112	  2030.1416
 5209	 -1020.71686	  2737.62231	  1984.45801	  2029.94849
 5214	 -1022.02338	  2731.11377	  1981.5686	  2027.06042
 5210	 -1020.94232	  2765.66357	  1982.06372	  2027.55542
 5215	 -1021.94879	  2754.64795	  1978.18213	  2023.67554
 5213	 -1028.7616	  2790.64551	  1979.24976	  2024.74268
 5216	 -1027.44995	  2777.36377	  1974.56433	  2020.05957
 5212	 -1040.72412	  2796.10986	  1978.24683	  2023.74023
 5217	 -1040.50769	  2782.86743	  1972.94006	  2018.43591
 5217	 -1040.50769	  2782.86743	  1972.94006	  2018.43591
 5215	 -1021.94879	  2754.64795	  1978.18213	  2023.67554
 5215	 -1021.94879	  2754.64795	  1978.18213	  2023.67554
 5215	 -1021.94879	  2754.64795	  1978.18213	  2023.67554
 5216	 -1027.44995	  2777.36377	  1974.56433	  2020.05957
 5218	 -1030.02368	  2760.26465	  1972.19678	  2017.69287
 5217	 -1040.50769	  2782.86743	  1972.94006	  2018.43591
 5219	 -1040.48828	  2763.70288	  1970.75317	  2016.25
 5219	 -1040.48828	  2763.70288	  1970.75317	  2016.25
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5220	 -1051.78784	  2673.98022	  1982.33423	  2027.82568
 5203	 -1054.69482	  2657.54688	  1986.646	  2032.1355
 5221	 -1057.9303	  2671.75464	  1989.19067	  2034.6792
 5221	 -1057.9303	  2671.75464	  1989.19067	  2034.6792
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5205	 -1041.56055	  2661.60254	  1980.84265	  2026.33484
 5207	 -1031.29089	  2673.52368	  1982.49744	  2027.98877
 5222	 -1035.28345	  2663.44751	  1977.48633	  2022.9801
 5208	 -1025.77283	  2692.96558	  1984.65112	  2030.1416
 5223	 -1028.80872	  2688.32031	  1976.50146	  2021.99561
 5214	 -1022.02338	  2731.11377	  1981.5686	  2027.06042
 5224	 -1025.49243	  2719.14893	  1975.85059	  2021.34509
 5215	 -1021.94879	  2754.64795	  1978.18213	  2023.67554
 5225	 -1031.2373	  2729.17456	  1972.05981	  2017.55615
 5218	 -1030.02368	  2760.26465	  1972.19678	  2017.69287
 5226	 -1040.67578	  2728.9917	  1971.10242	  2016.59912
